version,window_years,start,end,cagr,sharpe,volatility,max_drawdown,avg_bil_weight
ensemble_equal,5,2020-06-05,2025-06-10,0.06370535403608613,1.060192405968979,0.05995432353962822,-0.05658732025744495,0.4692463784257188
ensemble_equal,5,2020-07-07,2025-07-11,0.06132533654775618,1.02152763072456,0.06003501661032081,-0.056587320257445506,0.4675078026741887
ensemble_equal,5,2020-08-05,2025-08-11,0.05603543878148276,0.9376209638925794,0.06008004156084121,-0.056587320257445506,0.466026019845475
ensemble_equal,5,2020-09-03,2025-09-10,0.060989440451011845,1.0216009742934475,0.05970110146852647,-0.05658732025744506,0.46692028445853095
ensemble_equal,5,2020-10-05,2025-10-09,0.07027570957997975,1.1837753444718462,0.0588424726030332,-0.056587320257445395,0.4666153365490548
ensemble_equal,5,2020-11-03,2025-11-07,0.0730544938345612,1.2258033076954977,0.05894567271647604,-0.056587320257446505,0.46607752915821254
ensemble_equal,5,2020-12-03,2025-12-09,0.06745519600860095,1.1347185402225213,0.059072020941012646,-0.05658732025744451,0.46098171855893255
ensemble_equal,5,2021-01-05,2026-01-09,0.0693740580996518,1.1593609208485243,0.05938176053012367,-0.05658732025744595,0.4588703298351839
ensemble_equal,5,2021-02-04,2026-02-10,0.07409290739610741,1.2077013282003455,0.0607185889951792,-0.056587320257444174,0.45799122497394074
ensemble_equal,5,2021-03-08,2026-03-12,0.07358899229942262,1.190233419467611,0.06124236779615859,-0.05658732025744517,0.4547967516595179
ensemble_equal,5,2021-04-07,2026-04-13,0.07086351196072638,1.1342304731701736,0.06206977227702888,-0.05658732025744573,0.4527842454320816
ensemble_equal,5,2021-05-06,2026-05-12,0.07218167160586964,1.1472001358886805,0.062461863129488406,-0.05658732025744484,0.45334490558567353
ensemble_equal,5,2021-06-07,2026-06-11,0.06400390140124768,1.0172806342503584,0.06294053863730405,-0.056587320257444174,0.452620519379647
ensemble_equal,5,2021-07-07,2026-07-14,0.06507775476502342,1.0296213025423757,0.06318093580986046,-0.056587320257445284,0.45352953878004576
ensemble_risk_balanced,3,2008-06-02,2011-05-31,0.08208762036323591,1.075951816507389,0.07601506500908582,-0.07105357377927324,0.32298707955199724
ensemble_risk_balanced,3,2008-07-01,2011-06-29,0.0754929824379551,0.9898728682835839,0.07648404554628689,-0.07105357377927535,0.310668451890873
ensemble_risk_balanced,3,2008-07-31,2011-07-29,0.08839763872584228,1.1394589092013685,0.0769454117489894,-0.07105357377927413,0.29959498799880807
ensemble_risk_balanced,3,2008-08-29,2011-08-29,0.09528287123339796,1.195974686562638,0.07869744948688437,-0.0710535737792738,0.2850785205288383
ensemble_risk_balanced,3,2008-09-30,2011-09-28,0.08723727057180786,1.0986798490387086,0.07897359524604684,-0.07105357377927557,0.27771862522653057
ensemble_risk_balanced,3,2008-10-29,2011-10-27,0.099103208560265,1.2401805487979978,0.07870124021482892,-0.07105357377927579,0.2734672291553425
ensemble_risk_balanced,3,2008-11-28,2011-11-28,0.08786859199058483,1.1281666066361815,0.07730963014532716,-0.07105357377927435,0.26915935567245514
ensemble_risk_balanced,3,2008-12-30,2011-12-28,0.06712838904437968,0.8918175649817554,0.07610456866962134,-0.07105357377927479,0.26870556719523947
