kind,label,start,end,n_days,shares_vs_mom12,mbr_vs_rest_shares,both_m_vs_rest_shares,c1_vs_mom12,c1_vs_ew
roll_2y,2y_2019-02-19_2021-03-15,2019-02-19,2021-03-15,504,0.0374192725932751,-0.011696954190166987,-0.019313116462244203,0.05949677907228669,0.06935992558772691
roll_2y,2y_2019-05-23_2021-06-17,2019-05-23,2021-06-17,504,0.0639472982260238,-0.015914106892886484,-0.02785812306435708,0.07902703941347514,0.06218244172845213
roll_2y,2y_2019-08-21_2021-09-14,2019-08-21,2021-09-14,504,0.0019725776339346197,-0.03885581502283467,-0.04616458788776689,0.0076425769963999746,0.08225102055085537
roll_2y,2y_2019-11-26_2021-12-21,2019-11-26,2021-12-21,504,-0.028497752518759887,-0.013356614038370936,-0.0442371755144333,0.00011067216418350276,0.06928919906467798
roll_2y,2y_2020-03-03_2022-03-28,2020-03-03,2022-03-28,504,-0.041428022453978273,0.013888151389119998,-0.02138345014631849,-0.009010127526374687,0.06756689776382932
roll_2y,2y_2020-06-04_2022-07-01,2020-06-04,2022-07-01,504,-0.03483451977014548,-0.0018716612794695588,-0.018486812229839715,-0.005598639444458941,0.06435930955692121
roll_2y,2y_2020-09-03_2022-09-29,2020-09-03,2022-09-29,504,-0.03211852992870394,0.023467387445011735,0.026073719191842638,-0.0032779398365572338,0.06834117089305355
roll_2y,2y_2020-12-09_2023-01-04,2020-12-09,2023-01-04,504,-0.03405986147093537,0.033357877929712725,0.016365655943325758,-0.025004399212517348,0.042389104653815325
roll_2y,2y_2021-03-16_2023-04-11,2021-03-16,2023-04-11,504,0.002047009428569696,0.014509836084567032,0.023938546834721314,0.0018725125723810694,0.02923922643617051
roll_2y,2y_2021-06-18_2023-07-14,2021-06-18,2023-07-14,504,-0.04174426967487231,-0.024994162655863787,0.013853985968840434,-0.06328189256450575,0.0061735916299858334
roll_2y,2y_2021-09-15_2023-10-19,2021-09-15,2023-10-19,504,0.040924842740658475,-0.005584086172042299,0.03221190312515671,0.055317093957455994,0.0127708729336171
roll_2y,2y_2021-12-22_2024-01-17,2021-12-22,2024-01-17,504,0.06743760039706745,0.00293613965911535,0.029642660038347493,0.07654024853416655,0.04853016423559531
roll_2y,2y_2022-03-29_2024-04-25,2022-03-29,2024-04-25,504,-0.04239086922766281,-0.02047382521013344,0.042621156039155006,-0.017522527167628348,0.03731425450424292
roll_2y,2y_2022-07-04_2024-07-29,2022-07-04,2024-07-29,504,-0.08207117057121804,-0.026957441796388294,0.06717488578036288,-0.01922977343178625,0.07214425168418548
roll_2y,2y_2022-09-30_2024-11-04,2022-09-30,2024-11-04,504,-0.01172178193948456,-0.024746157562297033,0.10111988088642297,-0.0478697374476514,-0.09090336581929596
roll_2y,2y_2023-01-05_2025-02-10,2023-01-05,2025-02-10,504,-0.00585794224696453,-0.04550960214181237,0.07848218521103346,0.028190269299062612,-0.03389919696219763
roll_2y,2y_2023-04-12_2025-05-14,2023-04-12,2025-05-14,504,-0.04001262019110954,0.0230841041582457,0.07931707670218949,0.020545067376492282,-0.02659560871168816
roll_2y,2y_2023-07-17_2025-08-12,2023-07-17,2025-08-12,504,-0.02857997313462557,0.04354301705815325,0.06577155276840099,0.040837081649424456,-0.0031695153318239827
roll_2y,2y_2023-10-20_2025-11-17,2023-10-20,2025-11-17,504,-0.021178206612564372,0.0938507797341207,0.11214707542167693,0.0022268357619825707,-0.018327168608267358
roll_2y,2y_2024-01-18_2026-02-24,2024-01-18,2026-02-24,504,-0.08111417690775272,0.0903972812821837,0.17110436098938933,-0.034099396553432484,-0.010775005775367011
roll_2y,2y_2024-04-26_2026-05-28,2024-04-26,2026-05-28,504,0.01950465466437136,0.0893976452333142,0.16974160992648285,0.05015990919500919,-0.01400914978907937
roll_3y,3y_2005-02-23_2008-04-01,2005-02-23,2008-04-01,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2005-05-30_2008-07-03,2005-05-30,2008-07-03,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2005-08-25_2008-10-08,2005-08-25,2008-10-08,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2005-11-29_2009-01-07,2005-11-29,2009-01-07,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2006-03-09_2009-04-14,2006-03-09,2009-04-14,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2006-06-13_2009-07-15,2006-06-13,2009-07-15,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2006-09-08_2009-10-20,2006-09-08,2009-10-20,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2006-12-13_2010-01-18,2006-12-13,2010-01-18,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2007-03-22_2010-04-23,2007-03-22,2010-04-23,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2007-06-26_2010-07-27,2007-06-26,2010-07-27,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2007-09-21_2010-11-03,2007-09-21,2010-11-03,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2007-12-26_2011-02-01,2007-12-26,2011-02-01,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2008-04-02_2011-05-11,2008-04-02,2011-05-11,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2008-07-04_2011-08-09,2008-07-04,2011-08-09,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2008-10-09_2011-11-14,2008-10-09,2011-11-14,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2009-01-08_2012-02-20,2009-01-08,2012-02-20,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2009-04-15_2012-05-24,2009-04-15,2012-05-24,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2009-07-16_2012-08-22,2009-07-16,2012-08-22,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2009-10-21_2012-11-26,2009-10-21,2012-11-26,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2010-01-19_2013-03-05,2010-01-19,2013-03-05,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2010-04-26_2013-06-07,2010-04-26,2013-06-07,756,0.0,0.0,0.0,0.0,0.0
roll_3y,3y_2010-07-28_2013-09-09,2010-07-28,2013-09-09,756,-0.0032125429172155085,0.0,0.0,-0.0032125429172155085,-0.001914608908882397
roll_3y,3y_2010-11-04_2013-12-16,2010-11-04,2013-12-16,756,-0.01418972393746626,0.0,0.0,-0.01418972393746626,-0.008160300652370443
roll_3y,3y_2011-02-09_2014-03-21,2011-02-09,2014-03-21,756,-0.05311129721982714,0.0,0.0,-0.05311129721982714,-0.03473656810683511
roll_3y,3y_2011-05-12_2014-06-24,2011-05-12,2014-06-24,756,-0.059486345085713606,-0.00022931903927276426,-0.004113005239656093,-0.06830044606745068,-0.04454797834677637
roll_3y,3y_2011-08-10_2014-09-22,2011-08-10,2014-09-22,756,-0.06613646883227367,0.004435910566559838,-0.0014317017232653565,-0.05396156153323088,-0.01965636297537107
roll_3y,3y_2011-11-15_2014-12-25,2011-11-15,2014-12-25,756,-0.07784701226692452,-0.003236012641314965,-0.013305054211296607,-0.03122392859477661,0.004159438837201444
roll_3y,3y_2012-02-21_2015-04-02,2012-02-21,2015-04-02,756,-0.0753958771969841,-0.002235906794772776,-0.01212385209877672,-0.02808519849750385,0.0058493345217622205
roll_3y,3y_2012-05-25_2015-07-03,2012-05-25,2015-07-03,756,-0.07327658764810345,-0.0013745486707949014,-0.012859866844305873,-0.025802045702886158,0.0074273834030268255
roll_3y,3y_2012-08-23_2015-10-09,2012-08-23,2015-10-09,756,-0.0723107978795819,0.0035614816861658577,-0.009296409465385775,-0.016818631748859607,0.006458054478396684
