signal_date,execution_date,symbol,weight
2017-04-28,2017-05-01,AMP,0.025
2017-04-28,2017-05-01,COO,0.025
2017-04-28,2017-05-01,C,0.025
2017-04-28,2017-05-01,CFG,0.025
2017-04-28,2017-05-01,ADBE,0.025
2017-04-28,2017-05-01,CNP,0.025
2017-04-28,2017-05-01,DOV,0.025
2017-04-28,2017-05-01,BAC,0.025
2017-04-28,2017-05-01,AMD,0.025
2017-04-28,2017-05-01,A,0.025
2017-04-28,2017-05-01,DHR,0.025
2017-04-28,2017-05-01,BKNG,0.025
2017-04-28,2017-05-01,AJG,0.025
2017-04-28,2017-05-01,AAPL,0.025
2017-04-28,2017-05-01,CSX,0.025
2017-04-28,2017-05-01,DE,0.025
2017-04-28,2017-05-01,AMZN,0.025
2017-04-28,2017-05-01,ALB,0.025
2017-04-28,2017-05-01,ADSK,0.025
2017-04-28,2017-05-01,DGX,0.025
2017-04-28,2017-05-01,DD,0.025
2017-04-28,2017-05-01,ADI,0.025
2017-04-28,2017-05-01,BBY,0.025
2017-04-28,2017-05-01,CAT,0.025
2017-04-28,2017-05-01,AVGO,0.025
2017-04-28,2017-05-01,BA,0.025
2017-04-28,2017-05-01,CHTR,0.025
2017-04-28,2017-05-01,CTAS,0.025
2017-04-28,2017-05-01,CMI,0.025
2017-04-28,2017-05-01,CME,0.025
2017-04-28,2017-05-01,AMAT,0.025
2017-04-28,2017-05-01,DRI,0.025
2017-04-28,2017-05-01,ALL,0.025
2017-04-28,2017-05-01,APH,0.025
2017-04-28,2017-05-01,CBOE,0.025
2017-04-28,2017-05-01,CCL,0.025
2017-04-28,2017-05-01,DLR,0.025
2017-04-28,2017-05-01,CSCO,0.025
2017-04-28,2017-05-01,CMCSA,0.025
2017-04-28,2017-05-01,AKAM,0.025
2017-05-31,2017-06-01,AMP,0.025
2017-05-31,2017-06-01,COO,0.025
2017-05-31,2017-06-01,C,0.025
2017-05-31,2017-06-01,DRI,0.025
2017-05-31,2017-06-01,CFG,0.025
2017-05-31,2017-06-01,DLR,0.025
2017-05-31,2017-06-01,ADBE,0.025
2017-05-31,2017-06-01,CNP,0.025
2017-05-31,2017-06-01,ALL,0.025
2017-05-31,2017-06-01,BAC,0.025
2017-05-31,2017-06-01,AMD,0.025
2017-05-31,2017-06-01,A,0.025
2017-05-31,2017-06-01,DHR,0.025
2017-05-31,2017-06-01,CMCSA,0.025
2017-05-31,2017-06-01,BKNG,0.025
2017-05-31,2017-06-01,AAPL,0.025
2017-05-31,2017-06-01,CSX,0.025
2017-05-31,2017-06-01,DE,0.025
2017-05-31,2017-06-01,AMZN,0.025
2017-05-31,2017-06-01,ALB,0.025
2017-05-31,2017-06-01,ADSK,0.025
2017-05-31,2017-06-01,DGX,0.025
2017-05-31,2017-06-01,DD,0.025
2017-05-31,2017-06-01,ADI,0.025
2017-05-31,2017-06-01,APH,0.025
2017-05-31,2017-06-01,BBY,0.025
2017-05-31,2017-06-01,CAT,0.025
2017-05-31,2017-06-01,AVGO,0.025
2017-05-31,2017-06-01,BA,0.025
2017-05-31,2017-06-01,CHTR,0.025
2017-05-31,2017-06-01,CBOE,0.025
2017-05-31,2017-06-01,CCL,0.025
2017-05-31,2017-06-01,CTAS,0.025
2017-05-31,2017-06-01,CMI,0.025
2017-05-31,2017-06-01,CME,0.025
2017-05-31,2017-06-01,AMAT,0.025
2017-05-31,2017-06-01,BAX,0.025
2017-05-31,2017-06-01,AMT,0.025
2017-05-31,2017-06-01,CI,0.025
2017-05-31,2017-06-01,AXP,0.025
2017-06-30,2017-07-03,AMP,0.025
2017-06-30,2017-07-03,COO,0.025
2017-06-30,2017-07-03,C,0.025
2017-06-30,2017-07-03,DRI,0.025
2017-06-30,2017-07-03,CFG,0.025
2017-06-30,2017-07-03,ADBE,0.025
2017-06-30,2017-07-03,BAC,0.025
2017-06-30,2017-07-03,AMD,0.025
2017-06-30,2017-07-03,A,0.025
2017-06-30,2017-07-03,DHR,0.025
2017-06-30,2017-07-03,CMCSA,0.025
2017-06-30,2017-07-03,BKNG,0.025
2017-06-30,2017-07-03,AAPL,0.025
2017-06-30,2017-07-03,CSX,0.025
2017-06-30,2017-07-03,DE,0.025
2017-06-30,2017-07-03,AMZN,0.025
2017-06-30,2017-07-03,ALB,0.025
2017-06-30,2017-07-03,AXP,0.025
2017-06-30,2017-07-03,ADSK,0.025
2017-06-30,2017-07-03,DGX,0.025
2017-06-30,2017-07-03,DD,0.025
2017-06-30,2017-07-03,ADI,0.025
2017-06-30,2017-07-03,APH,0.025
2017-06-30,2017-07-03,BAX,0.025
2017-06-30,2017-07-03,BBY,0.025
2017-06-30,2017-07-03,CAT,0.025
2017-06-30,2017-07-03,AVGO,0.025
2017-06-30,2017-07-03,BA,0.025
2017-06-30,2017-07-03,CHTR,0.025
2017-06-30,2017-07-03,CBOE,0.025
2017-06-30,2017-07-03,CCL,0.025
2017-06-30,2017-07-03,CTAS,0.025
2017-06-30,2017-07-03,CMI,0.025
2017-06-30,2017-07-03,AMAT,0.025
2017-06-30,2017-07-03,ALGN,0.025
2017-06-30,2017-07-03,APTV,0.025
2017-06-30,2017-07-03,DAL,0.025
2017-06-30,2017-07-03,CBRE,0.025
2017-06-30,2017-07-03,AME,0.025
2017-06-30,2017-07-03,BEN,0.025
2017-07-31,2017-08-01,DAL,0.025
2017-07-31,2017-08-01,AMP,0.025
2017-07-31,2017-08-01,COO,0.025
2017-07-31,2017-08-01,C,0.025
2017-07-31,2017-08-01,DRI,0.025
2017-07-31,2017-08-01,CFG,0.025
2017-07-31,2017-08-01,ADBE,0.025
2017-07-31,2017-08-01,BEN,0.025
2017-07-31,2017-08-01,BAC,0.025
2017-07-31,2017-08-01,AMD,0.025
2017-07-31,2017-08-01,AME,0.025
2017-07-31,2017-08-01,BKNG,0.025
2017-07-31,2017-08-01,AAPL,0.025
2017-07-31,2017-08-01,CSX,0.025
2017-07-31,2017-08-01,DE,0.025
2017-07-31,2017-08-01,ALGN,0.025
2017-07-31,2017-08-01,AMZN,0.025
2017-07-31,2017-08-01,ALB,0.025
2017-07-31,2017-08-01,AXP,0.025
2017-07-31,2017-08-01,ADSK,0.025
2017-07-31,2017-08-01,DGX,0.025
2017-07-31,2017-08-01,APH,0.025
2017-07-31,2017-08-01,APTV,0.025
2017-07-31,2017-08-01,BAX,0.025
2017-07-31,2017-08-01,BBY,0.025
2017-07-31,2017-08-01,CAT,0.025
2017-07-31,2017-08-01,AVGO,0.025
2017-07-31,2017-08-01,BA,0.025
2017-07-31,2017-08-01,CHTR,0.025
2017-07-31,2017-08-01,CBOE,0.025
2017-07-31,2017-08-01,CCL,0.025
2017-07-31,2017-08-01,CMI,0.025
2017-07-31,2017-08-01,CBRE,0.025
2017-07-31,2017-08-01,AMAT,0.025
2017-07-31,2017-08-01,ALL,0.025
2017-07-31,2017-08-01,BNY,0.025
2017-07-31,2017-08-01,CI,0.025
2017-07-31,2017-08-01,CME,0.025
