top_returns,portfolio_size,variant,status,gross_cagr,gross_volatility,gross_sharpe,gross_max_drawdown,net_cagr,net_volatility,net_sharpe,net_max_drawdown,cost_drag_cagr,benchmark_sharpe,realized_beta_to_spy,average_exposure,one_way_turnover,annualized_turnover,cost_total
1,50,vol_neutral,OK,0.1779101432919341,0.2214478208397651,0.8510462871387676,-0.4549201929205794,0.1673192719772436,0.2214889851345746,0.8101266534631424,-0.4553759154382804,0.010590871314690498,0.8328409822588789,1.1260799352060853,0.9722222222222222,104.46934979789016,9.085102384209376,0.10446934979789016
1,50,beta_neutral,OK,0.16160031021663124,0.20464418820463032,0.8348136036113226,-0.4084329378416578,0.15109746420577364,0.2047021869603985,0.7902402324738027,-0.40893084566523596,0.010502846010857603,0.8328409822588789,1.074635763337541,0.9502743484224966,105.02053150584933,9.133035507740827,0.10502053150584933
1,50,beta_hedged,OK,-0.011191140306362257,0.08254096642529711,-0.09505315040205625,-0.34009421070984225,-0.022723050043591653,0.08254902508872308,-0.23713323754442267,-0.38564948277506195,0.011531909737229395,0.8328409822588789,0.06800667019109356,0.3257227005123217,108.58169800982554,9.442729809068757,0.10858169800982556
1,50,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
3,15,raw,OK,0.09129929382998192,0.150084558347542,0.6574890208930029,-0.33315159863789034,0.07992070140090135,0.15013395791309425,0.5874886388969376,-0.3337804122198126,0.01137859242908057,0.8328409822588789,0.6554348930175169,0.9869684499314128,121.23333333333333,10.542970238095238,0.12123333333333333
3,15,vol_neutral,OK,0.1878754240951146,0.23656427756688603,0.8469043142713233,-0.45786821242909914,0.17648544502762165,0.23660973544651537,0.8060415002015928,-0.4587844505280725,0.01138997906749295,0.8328409822588789,1.1067709862076058,0.9722222222222221,111.43333333333334,9.690720238095238,0.11143333333333336
3,15,beta_neutral,OK,0.18047403987760524,0.22244645969981613,0.8576233022447262,-0.4216433363775184,0.168225888515372,0.22252214139491966,0.8105077752983385,-0.4221878926358873,0.012248151362233228,0.8328409822588789,1.1206033348009317,0.9502743484224964,120.56666666666669,10.48499404761905,0.12056666666666667
3,15,beta_hedged,OK,0.0034907741391958513,0.0995817421876285,0.084771938267059,-0.2608811217297268,-0.009543532415623668,0.0996325755841221,-0.04643914680549737,-0.31356077859666687,0.01303430655481952,0.8328409822588789,0.08592595806510286,0.38153900213221686,125.435663727358,10.908422899147027,0.12543566372735798
3,15,size_neutral,BLOCKED_BY_PIT_MARKET_CAP,,,,,,,,,,,,,,,
3,25,raw,OK,0.08205474038028182,0.1495942177244194,0.6022133896290305,-0.3222254229275777,0.07144919897996194,0.1496308049322991,0.5362597246894739,-0.32283359066688944,0.010605541400319884,0.8328409822588789,0.6693186773320899,0.9869684499314129,113.94,9.908710714285714,0.11394000000000001
3,25,vol_neutral,OK,0.19080085782367684,0.22543418142675645,0.8882809824551877,-0.45056961216005786,0.1796494588525599,0.2254657556686869,0.846431163214809,-0.4514123089169536,0.011151398971116944,0.8328409822588789,1.106993670736563,0.9722222222222222,108.85999999999999,9.466932142857141,0.10886000000000001
3,25,beta_neutral,OK,0.16398602297587073,0.21337732900607503,0.8190178631324203,-0.45046152895091907,0.15256285973896033,0.21344415617189727,0.7725967613924183,-0.45097167613880584,0.011423163236910394,0.8328409822588789,1.100772512063271,0.9502743484224966,114.02000000000001,9.915667857142859,0.11402000000000001
