date,turnover,cost,holdings,leverage,reason
2015-07-02,0.07133331298828122,3.5666656494140605e-05,5,1.4636666615804037,vix_resize
2015-07-06,0.02333335876464865,1.1666679382324323e-05,5,1.4403333028157552,vix_resize
2015-07-07,0.00733331044514951,3.666655222574755e-06,5,1.4329999923706054,vix_resize
2015-07-08,0.03066666920979816,1.533333460489908e-05,5,1.4636666615804037,vix_resize
2015-07-09,0.11899998982747406,5.949999491373703e-05,5,1.3446666717529296,vix_resize
2015-07-10,0.010333315531412812,5.166657765706406e-06,5,1.334333356221517,vix_resize
2015-07-13,0.10466664632161476,5.233332316080739e-05,5,1.4390000025431315,vix_resize
2015-07-14,0.06099999745686868,3.0499998728434342e-05,5,1.5,vix_resize
2015-07-28,0.02000001271565771,1.0000006357828856e-05,5,1.4799999872843423,vix_resize
2015-07-29,0.020000012715657434,1.0000006357828717e-05,5,1.5,vix_resize
2015-07-31,2.9999999999999996,0.0014999999999999998,5,1.5,monthly_rebalance
2015-08-20,0.008333333333333248,4.1666666666666245e-06,5,1.4916666666666667,vix_resize
2015-08-21,0.1296666463216148,6.48333231608074e-05,5,1.362000020345052,vix_resize
2015-08-24,0.2963333765665688,0.00014816668828328437,5,1.0656666437784832,vix_resize
2015-08-25,0.06566664377848322,3.283332188924161e-05,5,1.0,vix_resize
2015-08-28,0.12999998728434256,6.499999364217129e-05,5,1.1299999872843425,vix_resize
2015-08-31,1.8096666844685871,0.0009048333422342935,5,1.1316666920979817,monthly_rebalance
2015-09-01,0.07933336893717433,3.9666684468587165e-05,5,1.0523333231608074,vix_resize
2015-09-02,0.05233332316080738,2.6166661580403694e-05,5,1.0,vix_resize
2015-09-03,0.13033332824707033,6.516666412353517e-05,5,1.1303333282470702,vix_resize
2015-09-04,0.015999984741211087,7.999992370605544e-06,5,1.1463333129882813,vix_resize
2015-09-08,0.07299995422363273,3.649997711181636e-05,5,1.0733333587646485,vix_resize
2015-09-09,0.09666665395100901,4.8333326975504506e-05,5,1.1700000127156576,vix_resize
2015-09-10,0.04433333079020191,2.2166665395100954e-05,5,1.1256666819254557,vix_resize
2015-09-11,0.06199995676676451,3.099997838338225e-05,5,1.1876666386922201,vix_resize
2015-09-14,0.03900000254313141,1.9500001271565704e-05,5,1.2266666412353515,vix_resize
2015-09-15,0.03499997456868506,1.749998728434253e-05,5,1.1916666666666667,vix_resize
2015-09-16,0.05699996948242192,2.849998474121096e-05,5,1.2486666361490886,vix_resize
2015-09-17,0.03966668446858709,1.9833342234293545e-05,5,1.2883333206176757,vix_resize
2015-09-18,0.007000033060709787,3.5000165303548937e-06,5,1.2953333536783855,vix_resize
2015-09-21,0.03800004323323558,1.9000021616617792e-05,5,1.2573333104451496,vix_resize
2015-09-22,0.07133337656656885,3.5666688283284425e-05,5,1.3286666870117188,vix_resize
2015-09-23,0.07666670481363935,3.8333352406819675e-05,5,1.2519999821980794,vix_resize
2015-09-24,0.010333379109700724,5.166689554850362e-06,5,1.26233336130778,vix_resize
2015-09-25,0.04466667175292982,2.233333587646491e-05,5,1.2176666895548502,vix_resize
