start,end,observations,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor
2015-04-09,2015-07-03,60,1.3602669942868455,35.84993786248302,4.295868822221486,8.345212422930606,29.943000992426924,-0.3721919028571967,96.32111173637753,0.6166666666666667,3.564171995921584
2015-07-06,2015-09-29,60,-0.09284873636316893,-0.33586742653906543,0.21068692768400787,-1.594154085548229,-1.817135374353322,-0.13021074735746163,-2.579414014244338,0.45,0.6801950744164578
2015-09-30,2015-12-29,60,0.09558409970942394,0.46727671944305205,0.21516624358595723,2.171700874892946,2.979567560233757,-0.0587212294961712,7.957543182462143,0.5333333333333333,1.4239742829525806
2015-12-30,2016-03-30,60,0.054868443579823456,0.2515057879894156,0.11041713585764647,2.277778589671674,3.217030704837005,-0.03882086772937321,6.478623552227237,0.6166666666666667,1.4627583038177863
2016-03-31,2016-06-28,60,-0.0339011487027876,-0.1348516654925206,0.12262833954493091,-1.099677823192828,-1.184863715261059,-0.07057745547356142,-1.9106903838866296,0.4666666666666667,0.7941872419406205
2016-06-29,2016-09-22,60,0.004744670213097768,0.02007942194885004,0.09110101865226973,0.22040831426367122,0.2799592629612587,-0.03420545736256353,0.5870239282584815,0.48333333333333334,1.0538445319171539
2016-09-23,2016-12-22,60,-0.016796973625565648,-0.06867455622937624,0.06930730674107852,-0.9908703635813445,-1.1290405633384317,-0.0540811576311081,-1.2698425706382042,0.48333333333333334,0.8347519181735984
2016-12-23,2017-03-24,60,0.010163703343673669,0.04338692564574087,0.07873448872961057,0.551053627778545,0.6114973312818456,-0.02459217689944726,1.7642572198118844,0.5333333333333333,1.1671329379579
2017-03-27,2017-06-23,60,-0.006278173649921892,-0.02610467458155019,0.04932342117210762,-0.5292551481873358,-0.7863092902953858,-0.029276392128848694,-0.891662964024412,0.45,0.9067896266821684
2017-06-26,2017-09-15,60,0.03169525314850974,0.14002930666632585,0.07606265851874702,1.8409730792122272,3.4196316172222034,-0.025432996146154907,5.505812443867185,0.5166666666666667,1.328402344267298
2017-09-18,2017-12-15,60,-0.006776149709737278,-0.028152802041648495,0.09122896428778597,-0.30859499788728484,-0.4936738624943689,-0.04623202111647495,-0.6089459504857369,0.5333333333333333,0.9587030956051439
2017-12-18,2018-03-19,60,-0.028653719524407317,-0.11494320181515483,0.13373338540507843,-0.8594951923709392,-0.899265881165734,-0.10688428966761787,-1.0753984722413188,0.5666666666666667,0.8577888473301678
2018-03-20,2018-06-15,60,0.013491891014622226,0.05790134331504637,0.18326460555481838,0.3159439496773251,0.4503011153984977,-0.05777800707954894,1.0021346571425978,0.48333333333333334,1.0720751666183708
2018-06-19,2018-09-10,60,-0.06959131042200084,-0.2613651696846844,0.12787151403665292,-2.043967115379325,-2.8040366608881686,-0.08002036918071798,-3.2662329899330675,0.45,0.6579147917894892
2018-09-11,2018-12-11,60,0.004607154169834926,0.019493167936169398,0.1699532395264955,0.11469724255023946,0.14233843148571745,-0.06615794574278255,0.2946459071138252,0.5166666666666667,1.0334946789781112
2018-12-12,2019-03-14,60,0.053060317780325494,0.2425207214670364,0.17511314730573221,1.384937254560427,1.8009460437452212,-0.05187223781092565,4.675347193445262,0.4666666666666667,1.2856359463888205
2019-03-15,2019-06-13,60,0.0013795182578622,0.0058067782605477625,0.1764321079130695,0.03291225349644885,0.04995584720902561,-0.07640343475822187,0.07600153421012121,0.55,1.0209528113405706
2019-06-14,2019-09-05,60,0.05327182600543923,0.24356921681395427,0.09748877812017767,2.4984333736719764,3.087769827227043,-0.034986207847180095,6.961863882986852,0.6333333333333333,1.4753350521249324
2019-09-06,2019-12-06,60,-0.08880948035500413,-0.3233585341234442,0.11150848436827375,-2.89985588052209,-3.8347844542380054,-0.09065085804665729,-3.567076375129445,0.5,0.567962529870497
2019-12-09,2020-03-10,60,0.11236298393762834,0.5639952128253634,0.2617793395473209,2.1544680103504192,2.3733567208977666,-0.10775962599607625,5.23382674737475,0.5833333333333334,1.3715659853037139
2020-03-11,2020-06-08,60,-0.036355776045513655,-0.14404637616833205,0.17097640260294913,-0.8424927298467293,-1.0043357569966254,-0.08896915649691617,-1.6190597038348336,0.5166666666666667,0.8662300349518127
2020-06-09,2020-09-02,60,0.1585488449025878,0.8554115847587138,0.22466295628420724,3.8075328434501032,4.979961796128211,-0.053807892711085215,15.897511343767723,0.5666666666666667,1.6172892211453729
2020-09-03,2020-12-03,60,-0.04547296648508947,-0.17754796897290037,0.15202377871633105,-1.1678960388440036,-1.6998542475491094,-0.07884869293093666,-2.2517553858301,0.5,0.8268738270512177
2020-12-04,2021-03-05,60,-0.08414121216991621,-0.30867896574227016,0.20300182378149473,-1.5205723770960957,-2.3758137821483345,-0.14767448502511793,-2.0902660719606843,0.48333333333333334,0.7677030735941954
2021-03-08,2021-06-03,60,-0.16431149742324913,-0.5294707846396896,0.9387013307926787,-0.5640460573253713,-0.5111734641715125,-0.3625779819936251,-1.4602949184294338,0.5333333333333333,0.8880819202500733
2021-06-04,2021-08-27,60,0.18366143123596013,1.0302778940994846,0.2965615466737847,3.474077828548628,6.315934882376873,-0.057262647114460496,17.99214577069926,0.5333333333333333,1.5320934476445194
2021-08-30,2021-11-30,60,0.006526936125598182,0.0277007826736968,0.2922558365846037,0.09478265001451165,0.132872904823852,-0.15797306006536616,0.1753513077624423,0.5166666666666667,1.0400637501038252
2021-12-01,2022-03-02,60,-0.14973086013338188,-0.4940158057341968,0.22545699360829297,-2.1911753449196416,-2.1455099487865255,-0.17212864146103268,-2.8700383709589348,0.45,0.540933336799085
2022-03-03,2022-06-01,60,-0.09976490575763497,-0.35687566252807057,0.1945027926333739,-1.8348099669744065,-2.8318216251491255,-0.13195659988855313,-2.7044927107054733,0.4,0.7018834510117664
2022-06-02,2022-08-25,60,0.06920776748501112,0.3245270788215988,0.17638361381256737,1.8398935808541428,2.8747828227622034,-0.06491140159223818,4.999538923226768,0.5666666666666667,1.300601498155817
2022-08-26,2022-11-25,60,0.012172429014592812,0.05212881144980397,0.1425998877409185,0.36555997536627655,0.6611560988645507,-0.04344936990182802,1.1997598945067967,0.5,1.0709677682241159
2022-11-28,2023-02-27,60,-0.007788925105436051,-0.03230812402733729,0.14751161795077808,-0.21902087765126352,-0.3833183799170693,-0.06267179735558848,-0.5155129642130227,0.45,0.9748483066004886
2023-02-28,2023-05-26,60,-0.03391186119781742,-0.1348919558600592,0.22046061829176403,-0.6118641819353842,-0.9632603774004224,-0.08892010429051111,-1.5170017729551162,0.5166666666666667,0.9093012304131661
2023-05-29,2023-08-22,60,-0.008326923820240473,-0.034509969138867946,0.15783338232723237,-0.2186480998507604,-0.211524488601448,-0.09773400274888333,-0.3531009491910147,0.55,0.9716763585789877
2023-08-23,2023-11-22,60,0.028622016428460517,0.1258341699170975,0.12096709965862051,1.0402346610955564,2.411188007089478,-0.03436565687935966,3.66162562696931,0.5833333333333334,1.2048236901527845
2023-11-23,2024-02-23,60,-0.07938735419594889,-0.2934821608164513,0.17324190882433563,-1.6940598427256839,-2.174542682786193,-0.1343686734026187,-2.184156123481767,0.5166666666666667,0.7130223497279995
2024-02-26,2024-05-24,60,-0.05259470586298087,-0.2030145544023988,0.1684033530108872,-1.2055256072560145,-1.887428533525164,-0.0988240658201428,-2.0543027927213595,0.45,0.8066616383646936
2024-05-27,2024-08-19,60,-0.11550542205822045,-0.4028000882154771,0.14432500927611133,-2.79092369531653,-3.9059302373276785,-0.12027499803872665,-3.3489926816359774,0.38333333333333336,0.5360447200203697
2024-08-20,2024-11-20,60,0.10389112739914474,0.5145730307065663,0.2710161772498236,1.898680130198395,3.232457571259121,-0.08164329644417923,6.302697871323555,0.5166666666666667,1.335137474205068
2024-11-21,2025-02-21,60,-0.04732213872234492,-0.18421914924173766,0.14737410447227223,-1.250010304737069,-1.6593156486659382,-0.09300796413509793,-1.9806814497536114,0.5333333333333333,0.7984783581362912
2025-02-24,2025-05-22,60,-0.07713835314606088,-0.28620465778206017,0.2127491736508152,-1.3452680114838298,-1.6011589438307567,-0.09584410911171015,-2.9861476144399983,0.43333333333333335,0.7556280743383871
2025-05-23,2025-08-15,60,0.05516855556725231,0.253001902666772,0.12901020485625653,1.9610999218911973,4.4523096852223905,-0.038774381113887646,6.52497590931646,0.5166666666666667,1.3267788795824491
2025-08-18,2025-11-17,60,0.18084266024185225,1.010048538633439,0.3053435391227083,3.3079086642391053,5.103157285205616,-0.09015968391909102,11.20288464564553,0.5833333333333334,1.5341781141736182
2025-11-18,2026-02-11,60,0.08176021669347211,0.3910739679706301,0.23947656024919103,1.6330365174933699,1.987787058308889,-0.08513327666652093,4.5936675208981095,0.5166666666666667,1.3142558011615393
2026-02-12,2026-05-20,60,0.15682467923648802,0.8438419411611291,0.21400151945673407,3.9431586434681063,7.684079583201364,-0.07575076180851581,11.139715575325942,0.5666666666666667,1.6204959590078412
