date,turnover,cost,holdings,leverage
2020-02-28,0.0,0.0,0,1.0
2020-03-31,0.0,0.0,0,1.0
2020-04-30,0.0,0.0,0,1.0
2020-05-29,0.0,0.0,0,1.046999994913737
2020-06-30,0.0,0.0,0,1.0
2020-07-31,0.0,0.0,0,1.174666659037272
2020-08-31,0.0,0.0,0,1.2346666971842448
2020-09-30,0.0,0.0,0,1.1243333180745443
2020-10-30,0.0,0.0,0,1.0
2020-11-30,0.0,0.0,0,1.3053333282470703
2020-12-31,0.0,0.0,0,1.240999984741211
2021-01-29,0.0,0.0,0,1.0
2021-02-26,0.0,0.0,0,1.037000020345052
2021-03-31,0.0,0.0,0,1.3463333129882813
2021-04-30,0.0,0.0,0,1.412999979654948
2021-05-28,0.0,0.0,0,1.4420000076293946
2021-06-30,0.0,0.0,0,1.4659999847412108
2021-07-30,0.0,0.0,0,1.4099999745686849
2021-08-31,0.0,0.0,0,1.4603333155314127
2021-09-30,0.0,0.0,0,1.2480000178019206
2021-10-29,0.0,0.0,0,1.4489999771118165
2021-11-30,0.0,0.0,0,1.2346666971842448
2021-12-31,0.0,0.0,0,1.422333335876465
2022-01-31,0.0,0.0,0,1.078000005086263
2022-02-28,0.0,0.0,0,1.0803333282470704
2022-03-31,0.0,0.0,0,1.355666669209798
2022-04-29,0.0,0.0,0,1.0003333409627277
2022-05-31,0.0,0.0,0,1.1426666895548503
2022-06-30,0.0,0.0,0,1.0613333384195964
2022-07-29,0.0,0.0,0,1.2556666692097982
2022-08-31,0.0,0.0,0,1.1263333638509114
2022-09-30,0.0,0.0,0,1.0
2022-10-31,0.0,0.0,0,1.1416666666666666
2022-11-30,0.0,0.0,0,1.2703333536783854
2022-12-30,0.0,0.0,0,1.2853333155314128
2023-01-31,0.0,0.0,0,1.3353333155314129
2023-02-28,0.0,0.0,0,1.3016666412353515
2023-03-31,0.0,0.0,0,1.365999984741211
2023-04-28,0.0,0.0,0,1.4323333104451497
2023-05-31,0.0,0.0,0,1.4180000305175782
2023-06-30,0.0,0.0,0,1.5
2023-07-31,0.0,0.0,0,1.5
2023-08-31,0.0,0.0,0,1.5
2023-09-29,0.0,0.0,0,1.421999994913737
2023-10-31,0.0,0.0,0,1.3416666666666668
2023-11-30,0.0,0.0,0,1.5
2023-12-29,0.0,0.0,0,1.5
2024-01-31,0.0,0.0,0,1.5
2024-02-29,0.0,0.0,0,1.5
2024-03-28,0.0,0.0,0,1.5
2024-04-30,0.0,0.0,0,1.5
2024-05-31,0.0,0.0,0,1.5
2024-06-28,0.0,0.0,0,1.5
2024-07-31,0.0,0.0,0,1.4103333155314128
2024-08-30,0.0,0.0,0,1.478333346048991
2024-09-30,0.0,0.0,0,1.4346666971842448
2024-10-31,0.0,0.0,0,1.3216666539510091
2024-11-29,0.0,0.0,0,1.5
2024-12-31,0.0,0.0,0,1.4200000127156576
2025-01-31,0.0,0.0,0,1.471999994913737
2025-02-28,0.0,0.0,0,1.2956666946411133
2025-03-31,0.0,0.0,0,1.278333346048991
2025-04-30,0.0,0.0,0,1.1943333307902018
2025-05-30,0.0,0.0,0,1.3606666564941405
2025-06-30,0.0,0.0,0,1.4560000101725261
2025-07-31,0.0,0.0,0,1.484000015258789
2025-08-29,0.0,0.0,0,1.5
2025-09-30,0.0,0.0,0,1.46266663869222
2025-10-31,0.0,0.0,0,1.4363333384195964
2025-11-28,0.0,0.0,0,1.4269999821980794
2025-12-31,0.0,0.0,0,1.5
2026-01-30,0.0,0.0,0,1.4373333613077799
2026-02-27,0.0,0.0,0,1.3790000279744465
2026-03-31,0.0,0.0,0,1.0
2026-04-30,0.0,0.0,0,1.3730000178019206
2026-05-29,0.0,0.0,0,1.4753333409627278
2026-06-30,0.0,0.0,0,1.4116666793823243
2026-07-31,0.0,0.0,0,1.4303333282470703
