version,window_years,start,end,cagr,spy_cagr,beats_spy,max_drawdown
composite_6_1_12_1_top3,10,2015-02-05,2025-02-11,0.09233686069195435,0.13419772946119313,False,-0.3683629955791049
composite_6_1_12_1_top3,10,2015-03-09,2025-03-13,0.08424297983537254,0.1218866779208303,False,-0.36836299557910457
composite_6_1_12_1_top3,10,2015-04-08,2025-04-11,0.08072599155423243,0.1182736860055571,False,-0.3683629955791047
composite_6_1_12_1_top3,10,2015-05-07,2025-05-13,0.08967149924116069,0.12835320312358434,False,-0.3683629955791047
composite_6_1_12_1_top3,10,2015-06-08,2025-06-12,0.08777560460054801,0.13069836430018333,False,-0.3683629955791048
composite_6_1_12_1_top3,10,2015-07-08,2025-07-15,0.08888800947956277,0.13470818409112395,False,-0.3683629955791049
composite_6_1_12_1_top3,10,2015-08-06,2025-08-13,0.0904375670747759,0.13766841008522435,False,-0.3683629955791048
composite_6_1_12_1_top3,10,2015-09-04,2025-09-12,0.10185633047991538,0.14798690454231367,False,-0.36836299557910457
composite_6_1_12_1_top3,10,2015-10-06,2025-10-13,0.10167342335526497,0.1470326212892299,False,-0.3683629955791047
composite_6_1_12_1_top3,10,2015-11-04,2025-11-11,0.09822242969897577,0.14342563032517708,False,-0.36836299557910457
composite_6_1_12_1_top3,10,2015-12-04,2025-12-11,0.09951253418995565,0.1474115164635168,False,-0.3683629955791047
composite_6_1_12_1_top3,10,2016-01-06,2026-01-13,0.10102975633685252,0.15022677232972703,False,-0.3683629955791047
composite_6_1_12_1_top3,10,2016-02-05,2026-02-12,0.10182206408509686,0.15384861404772443,False,-0.3683629955791048
composite_6_1_12_1_top3,10,2016-03-08,2026-03-16,0.09486571677039612,0.14650453251544726,False,-0.3683629955791049
composite_6_1_12_1_top3,10,2016-04-07,2026-04-15,0.08967695689225352,0.14811876773481236,False,-0.36836299557910446
composite_6_1_12_1_top3,10,2016-05-06,2026-05-14,0.09470438390442926,0.1565924670626737,False,-0.36836299557910457
composite_6_1_12_1_top3,10,2016-06-07,2026-06-15,0.09268879693904841,0.15408015157369226,False,-0.3683629955791047
composite_6_1_12_1_top3,10,2016-07-07,2026-07-16,0.08893596622108957,0.154029779947515,False,-0.3683629955791048
composite_top3_buffer,3,2006-02-01,2009-02-02,-0.05863838183185599,-0.11707024875584948,True,-0.39247661403955025
composite_top3_buffer,3,2006-03-03,2009-03-04,-0.09955068577492343,-0.16157586317752703,True,-0.434420316334606
composite_top3_buffer,3,2006-04-03,2009-04-02,-0.07632321406718723,-0.1186556317979317,True,-0.44556972090829794
composite_top3_buffer,3,2006-05-03,2009-05-04,-0.08021586337098485,-0.09656401527182057,True,-0.4455697209082976
composite_top3_buffer,3,2006-06-02,2009-06-03,-0.04864828471380822,-0.08127526850137701,True,-0.4455697209082973
composite_top3_buffer,3,2006-07-03,2009-07-02,-0.06025550029062254,-0.09035673827313162,True,-0.44556972090829783
composite_top3_buffer,3,2006-08-02,2009-08-03,-0.025856975688015926,-0.055526311537870354,True,-0.44556972090829683
composite_top3_buffer,3,2006-08-31,2009-09-01,-0.034765913784125524,-0.06462481915402729,True,-0.4455697209082975
composite_top3_buffer,3,2006-10-02,2009-10-01,-0.026682612010226925,-0.06301182590413756,True,-0.44556972090829705
composite_top3_buffer,3,2006-10-31,2009-10-30,-0.037458824724683426,-0.07093603350358801,True,-0.44556972090829694
composite_top3_buffer,3,2006-11-30,2009-12-01,-0.011105017231189951,-0.05428148710296732,True,-0.4455697209082974
composite_top3_buffer,3,2007-01-03,2009-12-31,-0.008644705684436538,-0.05670994606519719,True,-0.44556972090829783
composite_top3_buffer,3,2007-02-02,2010-02-02,-0.02543033409454354,-0.06608484012067228,True,-0.4455697209082973
composite_top3_buffer,3,2007-03-06,2010-03-04,-0.0032381626725261903,-0.043554134988493476,True,-0.4455697209082973
composite_top3_buffer,3,2007-04-04,2010-04-05,-0.0015219221891635826,-0.04090747442044218,True,-0.4455697209082973
composite_top3_buffer,3,2007-05-04,2010-05-04,-0.010813550254836102,-0.05861513329564505,True,-0.4455697209082974
composite_top3_buffer,3,2007-06-05,2010-06-03,-0.03937602762326631,-0.08485109024463555,True,-0.44556972090829694
composite_top3_buffer,3,2007-07-05,2010-07-02,-0.06768421205146247,-0.10549960877759634,True,-0.44556972090829705
composite_top3_buffer,3,2007-08-03,2010-08-03,-0.022849726360290812,-0.06712271244573087,True,-0.44556972090829705
composite_top3_buffer,3,2007-09-04,2010-09-01,-0.036175099936023414,-0.07784147174069489,True,-0.44556972090829694
composite_top3_buffer,3,2007-10-03,2010-10-01,-0.04208826243736041,-0.07386640492435692,True,-0.44556972090829694
composite_top3_buffer,3,2007-11-01,2010-11-01,-0.03826249988371622,-0.06442862899253943,True,-0.4455697209082974
composite_top3_buffer,3,2007-12-03,2010-12-01,-0.017295050423851488,-0.04554774790544813,True,-0.4455697209082977
composite_top3_buffer,3,2008-01-03,2010-12-31,-0.01108677472566566,-0.025026425632911686,True,-0.4455697209082977
composite_top3_buffer,3,2008-02-04,2011-02-01,0.023085194083380722,0.00022848981260392698,True,-0.44556972090829683
composite_top3_buffer,3,2008-03-05,2011-03-03,0.029348036889413676,0.02356999449825392,True,-0.44556972090829694
composite_top3_buffer,3,2008-04-04,2011-04-01,0.030066125256036136,0.012354576051808897,True,-0.44556972090829683
composite_top3_buffer,3,2008-05-05,2011-05-03,0.021196348078487137,0.007986612817198369,True,-0.4455697209082974
composite_top3_buffer,3,2008-06-04,2011-06-02,-0.002349469887010125,0.006152960281452513,False,-0.44032904956322216
composite_top3_buffer,3,2008-07-03,2011-07-01,0.023666547918669956,0.042655004843964006,False,-0.39532510102637386
composite_top3_buffer,3,2008-08-04,2011-08-02,0.012863471757334377,0.020299905935484697,False,-0.3888864883424322
composite_top3_buffer,3,2008-09-03,2011-08-31,0.008159642232849817,0.006487574699952425,True,-0.3677832101864855
composite_top3_buffer,3,2008-10-02,2011-09-30,0.010388170801340024,0.013273325855249984,False,-0.2898412038114415
composite_top3_buffer,3,2008-10-31,2011-10-31,0.08892510343091353,0.11624668323928633,False,-0.2139894695882124
composite_top3_buffer,3,2008-12-02,2011-11-30,0.11942863682232852,0.17595680897361876,False,-0.21398946958821186
composite_top3_buffer,3,2009-01-02,2011-12-30,0.10182247367439712,0.140451035134455,False,-0.2139894695882124
composite_top3_buffer,3,2009-02-03,2012-02-01,0.11231266931609452,0.19603091645270676,False,-0.2139894695882123
composite_top3_buffer,3,2009-03-05,2012-03-02,0.17220030294350397,0.2687995888725745,False,-0.21398946958821297
composite_top3_buffer,3,2009-04-03,2012-04-02,0.1533944174642521,0.2179174098135681,False,-0.2139894695882124
composite_top3_buffer,3,2009-05-05,2012-05-02,0.13908935849080817,0.17977083697322915,False,-0.2139894695882122
composite_top3_buffer,3,2009-06-04,2012-06-01,0.08055451796595481,0.13314325838127639,False,-0.21398946958821252
composite_top3_buffer,3,2009-07-06,2012-07-02,0.12093760542885446,0.1735932259041908,False,-0.21398946958821274
composite_top3_buffer,3,2009-08-04,2012-08-01,0.08190476671274727,0.1333468284383772,False,-0.21398946958821208
composite_top3_buffer,3,2009-09-02,2012-08-30,0.08489623691367942,0.14218714492437634,False,-0.2139894695882123
composite_top3_buffer,3,2009-10-02,2012-10-01,0.08092982408376037,0.142064935583057,False,-0.21398946958821152
composite_top3_buffer,3,2009-11-02,2012-11-01,0.0725356473444565,0.13587245642547585,False,-0.2139894695882122
composite_top3_buffer,3,2009-12-02,2012-12-03,0.040705523378629316,0.10510176703887586,False,-0.21398946958821263
composite_top3_buffer,3,2010-01-04,2013-01-03,0.04750250939615741,0.1165128256546073,False,-0.21398946958821208
composite_top3_buffer,3,2010-02-03,2013-02-04,0.07410637989333546,0.12951087706838416,False,-0.21398946958821252
composite_top3_buffer,3,2010-03-05,2013-03-06,0.07689532804698729,0.13416944556248223,False,-0.2139894695882122
composite_top3_buffer,3,2010-04-06,2013-04-05,0.06392470498164426,0.11629349295698099,False,-0.21398946958821197
composite_top3_buffer,3,2010-05-05,2013-05-06,0.08130281785408422,0.13566590804654055,False,-0.21398946958821274
composite_top3_buffer,3,2010-06-04,2013-06-05,0.10738505077155325,0.15724636408007586,False,-0.21398946958821263
composite_top3_buffer,3,2010-07-06,2013-07-05,0.1572349756717426,0.19335229131312248,False,-0.21398946958821252
composite_top3_buffer,3,2010-08-04,2013-08-05,0.13721543974424733,0.17425099255439358,False,-0.21398946958821274
