start,end,observations,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor
2015-04-09,2015-07-03,60,1.3388750031270056,34.46740808420455,4.007743164058649,8.60020382376483,30.023831816616518,-0.3560130002602371,96.81502658332614,0.6166666666666667,3.5253791401789187
2015-07-06,2015-09-29,60,-0.05103809008590954,-0.19750029908459044,0.23027127064913602,-0.8576853661676334,-1.0094241280502598,-0.13637800317532967,-1.4481829509608013,0.48333333333333334,0.8403999260976769
2015-09-30,2015-12-29,60,0.2128816102375688,1.2492479198649007,0.3240730704793081,3.8548340904020426,5.702451824646899,-0.07504618925341366,16.646387142276854,0.5333333333333333,1.6495699972399067
2015-12-30,2016-03-30,60,0.017248880928838695,0.07447008169316716,0.15750514648560945,0.4728104659105292,0.6522170773698625,-0.05603665140964109,1.3289531015829863,0.5833333333333334,1.1164193204166228
2016-03-31,2016-06-28,60,-0.02498295088208613,-0.10081038747981153,0.20665879428587483,-0.48781077925171046,-0.5598397390729721,-0.10325139512864867,-0.9763585988761149,0.48333333333333334,0.9198582705912743
2016-06-29,2016-09-22,60,-0.022813068223292654,-0.0923756648864239,0.08562474658894399,-1.0788430747700641,-1.1417084764243155,-0.039149303352444154,-2.3595736571556833,0.4666666666666667,0.7937560138528049
2016-09-23,2016-12-22,60,-0.014392356421650376,-0.0590705447982125,0.06223299553247142,-0.9491836973746693,-1.1023651396475496,-0.036473515582351124,-1.6195462338923992,0.5333333333333333,0.840695392128939
2016-12-23,2017-03-24,60,0.009901643951206074,0.04225054878322587,0.0780929313267452,0.5410291055210517,0.5896536235516717,-0.023105021457881736,1.8286305797311038,0.5833333333333334,1.1473049122481178
2017-03-27,2017-06-23,60,0.010018288144748366,0.04275624036721837,0.05518306760872844,0.7748072410613054,1.2043745889577244,-0.02677318849482091,1.5969797686028047,0.5333333333333333,1.1661629315453959
2017-06-26,2017-09-15,60,0.042994258040805367,0.19339455945150608,0.10150886070362264,1.905198798518327,3.752659524158488,-0.03281862134364111,5.892830092601618,0.5166666666666667,1.3445409191157403
2017-09-18,2017-12-15,60,-0.0005264725754164923,-0.0022093229306857642,0.08145217202908406,-0.02712417453885555,-0.035061297125694904,-0.04299272140326904,-0.051388301521144784,0.6,1.0022056491836193
2017-12-18,2018-03-19,60,0.0049110299377901345,0.020788984702311497,0.12786408675782446,0.162586581028698,0.2219329541380759,-0.08884576039313696,0.23398960862422172,0.6,1.0404461704914774
2018-03-20,2018-06-15,60,0.03424345314694888,0.15190238612837081,0.18015907371009796,0.8431570111911418,1.3206739824402864,-0.049580161169365033,3.0637735446134333,0.48333333333333334,1.1568156423449865
2018-06-19,2018-09-10,60,-0.06298180319799085,-0.23907525980288058,0.1722917533304512,-1.3876187059536176,-1.9275694171902393,-0.11093574268912332,-2.155078733035973,0.4666666666666667,0.7444975367957344
2018-09-11,2018-12-11,60,0.020193908505176328,0.08759561890424528,0.1633604926146299,0.536210545782846,0.7594707744076186,-0.06468355967467188,1.3542176612544263,0.5166666666666667,1.1013848261666597
2018-12-12,2019-03-14,60,0.09360180749633407,0.4561587402491809,0.18084811031069303,2.5223306976529107,4.317704755984565,-0.042647670726019715,10.695982511675004,0.4666666666666667,1.4900877877881298
