date,symbol,event,reason,delisting_return_status
2022-12-19,FBHS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2022-12-19,MBC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2022-12-22,ABMD,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-01-05,VNO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-03-15,SBNY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-03-15,SIVB,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-03-20,LUMN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-05-04,FRC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-06-20,DISH,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-07-10,RE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-08-25,AAP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-09-18,LNC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-09-18,NWL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-10-03,DXC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-10-18,ATVI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-10-18,OGN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-12-18,ALK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-12-18,SEDG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2023-12-18,SEE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-02-01,CDAY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-03-18,WHR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-03-18,ZION,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-03-25,FLT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-04-03,VFC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-04-03,XRAY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-05-08,PXD,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-06-24,CMA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-06-24,ILMN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-06-24,RHI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-09-23,AAL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-09-23,BIO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-09-23,ETSY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-10-01,BBWI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-11-26,MRO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-12-23,AMTM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-12-23,CTLT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2024-12-23,QRVO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-03-24,BWA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-03-24,CE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-03-24,FMC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-03-24,TFX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-05-19,DFS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-07-09,JNPR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-07-18,ANSS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-07-23,HES,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-08-28,WBA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-09-22,CZR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-09-22,ENPH,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-09-22,MKTX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-10-31,KMX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-11-04,EMN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-11-28,IPG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-12-11,K,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-12-22,LKQ,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-12-22,MHK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2025-12-22,SOLS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-02-09,DAY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-03-23,LW,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-03-23,MOH,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-03-23,MTCH,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-03-23,PAYC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-04-09,HOLX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-05-07,CTRA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-06-02,EPAM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-06-22,CPB,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-06-22,POOL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-06-30,CAG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2026-08-05,EA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
