sample,periods,annual_return,annual_volatility,sharpe,sortino,calmar,max_drawdown,total_return,win_rate,best_period,worst_period,average_turnover,strict_b_exposure,cash_exposure,condition_switches,longest_cash_periods,annual_return_vs_always,max_drawdown_improvement_vs_always,transition_cost_drag,signal_available_ratio,result_type,condition,mode,state_family,state,months,mean_monthly_return,return_contribution,etf_code,status,start,end,calibration_days,tracking_error_2018,mean_daily_amount,selected,fund_name,tracked_index,management_fee_annual,custody_fee_annual,fee_source,price_series_treatment,market_series,market_code,rows
out_of_sample,24.0,0.2630879460747111,0.2304273865480114,1.1417390528790057,2.0117347542640283,2.152985626117014,-0.12219679633867297,0.5953911595192325,0.6666666666666666,0.1321289072006305,-0.12219679633867286,0.18000000000000002,0.20833333333333334,0.0,3.0,0.0,0.22483387581320335,-0.026914595318090484,0.00308,1.0,performance,D_ret120,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.09687548897223919,0.13294555321271473,0.728685440251146,1.2329575847081589,0.6909501328742359,-0.14020619486568953,1.0006908600543079,0.5555555555555556,0.1321289072006305,-0.09900843696827702,0.26733333333333326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,E_vol20_p70,Always,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.11900338588847359,0.1342191316300441,0.8866350455648117,1.4013003309655496,0.8487740930596743,-0.14020619486568953,0.8559774848418142,0.5909090909090909,0.10856306383934286,-0.09900843696827702,0.2569696969696969,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,E_vol20_p70,Always,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.03825407026150773,0.13080735517315784,0.2924458659902453,0.5850201235570905,0.4014818072185826,-0.09528220102058249,0.07797151441458783,0.4583333333333333,0.1321289072006305,-0.058271618083638906,0.2958333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,performance,E_vol20_p70,Always,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,-0.001938684647237121,0.07341210006068322,-0.026408243949356904,-0.0236689243222509,-0.015789336276776277,-0.12278442951960133,-0.014448846369754298,0.14444444444444443,0.0728552531196654,-0.0700831342050659,0.336,0.28888888888888886,0.7111111111111111,27.0,18.0,-0.09881417361947631,0.01742176534608819,0.02482,1.0,performance,E_vol20_p70,Cash,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.02115658768200923,0.07131126643089034,0.29667945530756556,0.21779180196397185,0.204774388643879,-0.1033165710913313,0.12203883543870564,0.15151515151515152,0.0728552531196654,-0.0700831342050659,0.26606060606060605,0.21212121212121213,0.7878787878787878,16.0,18.0,-0.09784679820646436,0.03688962377435823,0.015167999999999997,1.0,performance,E_vol20_p70,Cash,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,-0.06279274696250403,0.07758781546590769,-0.8093119594286727,-0.8960924182784376,-0.5162070286656336,-0.121642564853911,-0.121642564853911,0.125,0.03954502991489781,-0.058271618083638906,0.5283333333333333,0.5,0.5,11.0,4.0,-0.10104681722401176,-0.026360363833328515,0.009651999999999999,1.0,performance,E_vol20_p70,Cash,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.10907377925169492,0.2180101996727822,0.5003150284500767,0.9221268553935892,0.26037722056322193,-0.4189067654065799,1.1737184100944509,0.5444444444444444,0.268047313691508,-0.1553734061930785,0.6360000000000001,0.28888888888888886,0.0,27.0,0.0,0.012198290279455737,-0.27870057054089037,0.046419999999999996,1.0,performance,E_vol20_p70,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
in_sample,66.0,0.0447525670610025,0.20706529580402075,0.21612780107468643,0.34519548780350645,0.1199421201191418,-0.3731180257323161,0.27225438987997674,0.5454545454545454,0.19177489177489182,-0.1553734061930785,0.5084848484848485,0.21212121212121213,0.0,16.0,0.0,-0.07425081882747109,-0.2329118308666266,0.027968,1.0,performance,E_vol20_p70,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
out_of_sample,24.0,0.30711760123257825,0.24354355135216013,1.2610377056894069,4.497527243678644,3.4741964797996614,-0.0883996063602851,0.7085564234520092,0.5416666666666666,0.268047313691508,-0.058271618083638906,0.9866666666666667,0.5,0.0,11.0,0.0,0.2688635309710705,0.006882594660297392,0.018452,1.0,performance,E_vol20_p70,BenchmarkETF,,,,,,,,,,,,,,,,,,,,,,
all_sample,90.0,0.11223829390981366,0.21806174762009073,0.5147087700377247,0.9489233763211197,0.2703574706884599,-0.41514774355597084,1.220668984069364,0.5444444444444444,0.268847313691508,-0.1553734061930785,0.336,0.28888888888888886,0.0,27.0,0.0,0.01536280493757447,-0.2749415486902813,0.02482,1.0,performance,E_vol20_p70,BenchmarkIndexUpperBound,,,,,,,,,,,,,,,,,,,,,,
