date,turnover,cost,holdings,leverage,hedge_weight,reason
2024-03-28,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2024-04-30,1.44,0.0028799999999999997,25,1.0,0.0,monthly_rebalance
2024-05-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2024-06-28,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2024-07-31,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2024-08-30,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2024-09-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2024-10-31,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2024-11-29,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2024-12-31,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2025-01-31,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2025-02-28,1.8400000000000003,0.0036800000000000005,25,1.0,0.0,monthly_rebalance
2025-03-31,2.0,0.004,25,1.0,0.0,monthly_rebalance
2025-04-30,1.9200000000000004,0.0038400000000000005,25,1.0,0.0,monthly_rebalance
2025-05-30,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2025-06-30,1.52,0.0030399999999999997,25,1.0,0.0,monthly_rebalance
2025-07-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2025-08-29,1.8400000000000003,0.0036800000000000005,25,1.0,0.0,monthly_rebalance
2025-09-30,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2025-10-31,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2025-11-28,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2025-12-31,1.52,0.0030399999999999997,25,1.0,0.0,monthly_rebalance
2026-01-30,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2026-02-27,1.6,0.0032,25,1.0,0.0,monthly_rebalance
2026-03-31,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2026-04-30,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2026-05-29,1.6800000000000002,0.00336,25,1.0,0.0,monthly_rebalance
2026-06-30,1.7600000000000002,0.00352,25,1.0,0.0,monthly_rebalance
2026-07-31,1.4400000000000002,0.0028800000000000006,25,1.0,0.0,monthly_rebalance
