signal_date,execution_date,action,code,rank_benefit
2018-02-08,2018-02-09,buy,511010,0.35
2018-02-22,2018-02-23,sell,518880,0.15000000000000002
2018-02-22,2018-02-23,buy,510050,0.15000000000000002
2018-03-08,2018-03-09,sell,511010,0.2857142857142857
2018-03-08,2018-03-09,buy,512660,0.2857142857142857
2018-03-15,2018-03-16,sell,510050,0.8095238095238095
2018-03-15,2018-03-16,buy,512010,0.8095238095238095
2018-04-09,2018-04-10,sell,512010,0.9523809523809523
2018-04-09,2018-04-10,buy,511010,0.9523809523809523
2018-04-16,2018-04-17,sell,512660,0.5714285714285714
2018-04-16,2018-04-17,buy,512100,0.5714285714285714
2018-05-09,2018-05-10,sell,512100,0.38095238095238093
2018-05-09,2018-05-10,buy,159928,0.38095238095238093
2018-05-23,2018-05-24,sell,511010,0.2857142857142857
2018-05-23,2018-05-24,buy,512100,0.2857142857142857
2018-06-13,2018-06-14,sell,512100,0.4285714285714286
2018-06-13,2018-06-14,buy,518880,0.4285714285714286
2018-06-28,2018-06-29,sell,159928,0.2857142857142857
2018-06-28,2018-06-29,buy,511010,0.2857142857142857
2018-07-19,2018-07-20,sell,518880,0.33333333333333337
2018-07-19,2018-07-20,buy,159915,0.33333333333333337
2018-07-26,2018-07-27,sell,511010,0.9047619047619048
2018-07-26,2018-07-27,buy,510050,0.9047619047619048
2018-08-09,2018-08-10,sell,159915,0.9523809523809523
2018-08-09,2018-08-10,buy,511010,0.9523809523809523
2018-08-23,2018-08-24,sell,510050,0.23809523809523803
2018-08-23,2018-08-24,buy,512800,0.23809523809523803
2018-09-13,2018-09-14,sell,512800,0.4285714285714286
2018-09-13,2018-09-14,buy,512660,0.4285714285714286
2018-09-28,2018-10-08,sell,511010,0.1428571428571428
2018-09-28,2018-10-08,buy,159915,0.1428571428571428
2018-10-12,2018-10-15,sell,512660,0.9047619047619048
2018-10-12,2018-10-15,buy,512400,0.9047619047619048
2018-10-26,2018-10-29,sell,159915,0.8095238095238095
2018-10-26,2018-10-29,buy,512880,0.8095238095238095
2018-11-02,2018-11-05,sell,512400,0.33333333333333337
2018-11-02,2018-11-05,buy,511260,0.33333333333333337
2018-11-23,2018-11-26,sell,512880,0.9047619047619048
2018-11-23,2018-11-26,buy,159949,0.9047619047619048
2018-11-30,2018-12-03,sell,511260,0.9047619047619047
2018-11-30,2018-12-03,buy,512100,0.9047619047619047
2018-12-14,2018-12-17,sell,159949,0.8095238095238095
2018-12-14,2018-12-17,buy,511010,0.8095238095238095
2018-12-28,2019-01-02,sell,512100,0.38095238095238093
2018-12-28,2019-01-02,buy,518880,0.38095238095238093
2019-01-15,2019-01-16,sell,511010,0.47619047619047616
2019-01-15,2019-01-16,buy,512880,0.47619047619047616
2019-01-22,2019-01-23,sell,518880,0.4285714285714285
2019-01-22,2019-01-23,buy,512800,0.4285714285714285
2019-02-12,2019-02-13,sell,512880,0.9047619047619047
2019-02-12,2019-02-13,buy,511260,0.9047619047619047
2019-02-19,2019-02-20,sell,512800,0.7619047619047619
2019-02-19,2019-02-20,buy,518880,0.7619047619047619
2019-03-05,2019-03-06,sell,511260,0.33333333333333326
2019-03-05,2019-03-06,buy,159915,0.33333333333333326
2019-03-12,2019-03-13,sell,518880,0.6190476190476191
2019-03-12,2019-03-13,buy,512880,0.6190476190476191
2019-03-26,2019-03-27,sell,159915,0.1428571428571428
2019-03-26,2019-03-27,buy,512200,0.1428571428571428
2019-04-02,2019-04-03,sell,512880,0.7619047619047619
2019-04-02,2019-04-03,buy,512010,0.7619047619047619
2019-04-17,2019-04-18,sell,512200,0.2857142857142857
2019-04-17,2019-04-18,buy,510300,0.2857142857142857
2019-04-24,2019-04-25,sell,512010,0.19047619047619047
2019-04-24,2019-04-25,buy,510050,0.19047619047619047
2019-05-13,2019-05-14,sell,510300,0.5714285714285714
2019-05-13,2019-05-14,buy,518880,0.5714285714285714
2019-05-27,2019-05-28,sell,510050,0.2857142857142857
2019-05-27,2019-05-28,buy,511010,0.2857142857142857
2019-06-03,2019-06-04,sell,518880,0.6363636363636365
2019-06-03,2019-06-04,buy,510050,0.6363636363636365
2019-06-25,2019-06-26,sell,510050,0.13636363636363635
2019-06-25,2019-06-26,buy,518880,0.13636363636363635
2019-07-02,2019-07-03,sell,511010,0.8636363636363636
2019-07-02,2019-07-03,buy,512100,0.8636363636363636
2019-07-16,2019-07-17,sell,518880,0.6956521739130435
2019-07-16,2019-07-17,buy,510050,0.6956521739130435
2019-07-23,2019-07-24,sell,512100,0.8333333333333333
2019-07-23,2019-07-24,buy,512200,0.8333333333333333
2019-08-06,2019-08-07,sell,510050,0.49999999999999994
2019-08-06,2019-08-07,buy,159915,0.49999999999999994
2019-08-13,2019-08-14,sell,512200,0.8333333333333334
2019-08-13,2019-08-14,buy,512400,0.8333333333333334
2019-08-27,2019-08-28,sell,159915,0.5
2019-08-27,2019-08-28,buy,512010,0.5
2019-09-03,2019-09-04,sell,512400,0.29166666666666674
2019-09-03,2019-09-04,buy,512100,0.29166666666666674
2019-09-18,2019-09-19,sell,512010,0.76
2019-09-18,2019-09-19,buy,159949,0.76
2019-09-25,2019-09-26,sell,512100,0.24
2019-09-25,2019-09-26,buy,159915,0.24
2019-10-16,2019-10-17,sell,159949,0.64
2019-10-16,2019-10-17,buy,512800,0.64
2019-10-30,2019-10-31,sell,159915,0.16000000000000003
2019-10-30,2019-10-31,buy,511010,0.16000000000000003
2019-11-13,2019-11-14,sell,512800,0.5599999999999999
2019-11-13,2019-11-14,buy,159949,0.5599999999999999
2019-11-27,2019-11-28,sell,511010,0.31999999999999995
2019-11-27,2019-11-28,buy,512400,0.31999999999999995
2019-12-04,2019-12-05,sell,159949,0.19999999999999996
2019-12-04,2019-12-05,buy,511260,0.19999999999999996
2019-12-18,2019-12-19,sell,512400,0.11538461538461542
2019-12-18,2019-12-19,buy,512980,0.11538461538461542
2019-12-25,2019-12-26,sell,511260,0.9615384615384616
2019-12-25,2019-12-26,buy,512880,0.9615384615384616
2020-01-09,2020-01-10,sell,512980,0.7777777777777778
2020-01-09,2020-01-10,buy,511010,0.7777777777777778
2020-01-16,2020-01-17,sell,512880,0.8888888888888888
2020-01-16,2020-01-17,buy,511260,0.8888888888888888
2020-02-07,2020-02-10,sell,511010,0.9642857142857143
2020-02-07,2020-02-10,buy,512980,0.9642857142857143
2020-02-14,2020-02-17,sell,511260,0.8571428571428572
2020-02-14,2020-02-17,buy,512010,0.8571428571428572
2020-02-28,2020-03-02,sell,512980,0.1071428571428572
2020-02-28,2020-03-02,buy,159949,0.1071428571428572
2020-03-06,2020-03-09,sell,512010,0.2857142857142857
2020-03-06,2020-03-09,buy,512100,0.2857142857142857
2020-03-20,2020-03-23,sell,159949,0.7333333333333334
2020-03-20,2020-03-23,buy,512200,0.7333333333333334
2020-03-27,2020-03-30,sell,512100,0.5
2020-03-27,2020-03-30,buy,512010,0.5
2020-04-13,2020-04-14,sell,512200,0.4545454545454546
2020-04-13,2020-04-14,buy,510050,0.4545454545454546
2020-05-07,2020-05-08,sell,512010,0.7878787878787878
2020-05-07,2020-05-08,buy,159949,0.7878787878787878
2020-05-14,2020-05-15,sell,510050,0.38888888888888895
2020-05-14,2020-05-15,buy,510500,0.38888888888888895
2020-06-04,2020-06-05,sell,159949,0.4444444444444445
2020-06-04,2020-06-05,buy,159915,0.4444444444444445
2020-06-11,2020-06-12,sell,510500,0.2777777777777778
2020-06-11,2020-06-12,buy,159949,0.2777777777777778
2020-06-29,2020-06-30,sell,159915,0.4166666666666667
2020-06-29,2020-06-30,buy,512690,0.4166666666666667
2020-07-06,2020-07-07,sell,159949,0.25
2020-07-06,2020-07-07,buy,512480,0.25
2020-07-20,2020-07-21,sell,512690,0.972972972972973
2020-07-20,2020-07-21,buy,512880,0.972972972972973
2020-07-27,2020-07-28,sell,512480,0.18918918918918914
2020-07-27,2020-07-28,buy,510300,0.18918918918918914
2020-08-10,2020-08-11,sell,512880,0.5675675675675675
2020-08-10,2020-08-11,buy,511260,0.5675675675675675
2020-08-17,2020-08-18,sell,510300,0.18918918918918914
2020-08-17,2020-08-18,buy,512100,0.18918918918918914
2020-09-07,2020-09-08,sell,511260,0.5405405405405406
2020-09-07,2020-09-08,buy,512800,0.5405405405405406
