signal_date,execution_date,action,code,rank_benefit
2018-12-07,2018-12-10,sell,512200,0.8095238095238095
2018-12-07,2018-12-10,buy,512800,0.8095238095238095
2018-12-14,2018-12-17,sell,159915,0.5714285714285714
2018-12-14,2018-12-17,buy,511010,0.5714285714285714
2018-12-28,2019-01-02,sell,512800,0.38095238095238093
2018-12-28,2019-01-02,buy,512100,0.38095238095238093
2019-01-08,2019-01-09,sell,511010,0.6666666666666667
2019-01-08,2019-01-09,buy,512880,0.6666666666666667
2019-01-22,2019-01-23,sell,512100,0.47619047619047616
2019-01-22,2019-01-23,buy,510050,0.47619047619047616
2019-01-29,2019-01-30,sell,512880,0.8095238095238095
2019-01-29,2019-01-30,buy,512200,0.8095238095238095
2019-02-19,2019-02-20,sell,510050,0.2857142857142857
2019-02-19,2019-02-20,buy,159949,0.2857142857142857
2019-02-26,2019-02-27,sell,512200,0.1428571428571428
2019-02-26,2019-02-27,buy,510050,0.1428571428571428
2019-03-19,2019-03-20,sell,510050,0.19047619047619047
2019-03-19,2019-03-20,buy,511260,0.19047619047619047
2019-04-02,2019-04-03,sell,159949,0.33333333333333326
2019-04-02,2019-04-03,buy,512010,0.33333333333333326
2019-04-24,2019-04-25,sell,512010,0.38095238095238093
2019-04-24,2019-04-25,buy,510300,0.38095238095238093
2019-05-20,2019-05-21,sell,511260,0.5714285714285714
2019-05-20,2019-05-21,buy,518880,0.5714285714285714
2019-05-27,2019-05-28,sell,510300,0.5714285714285714
2019-05-27,2019-05-28,buy,512200,0.5714285714285714
2019-06-11,2019-06-12,sell,518880,0.7272727272727273
2019-06-11,2019-06-12,buy,512400,0.7272727272727273
2019-06-18,2019-06-19,sell,512200,0.18181818181818188
2019-06-18,2019-06-19,buy,511260,0.18181818181818188
2019-07-09,2019-07-10,sell,512400,0.5909090909090909
2019-07-09,2019-07-10,buy,512010,0.5909090909090909
2019-07-30,2019-07-31,sell,512010,0.75
2019-07-30,2019-07-31,buy,512100,0.75
2019-08-13,2019-08-14,sell,511260,0.25
2019-08-13,2019-08-14,buy,510050,0.25
2019-09-03,2019-09-04,sell,510050,0.45833333333333337
2019-09-03,2019-09-04,buy,512400,0.45833333333333337
2019-09-18,2019-09-19,sell,512100,0.52
2019-09-18,2019-09-19,buy,159949,0.52
2019-09-25,2019-09-26,sell,512400,0.36
2019-09-25,2019-09-26,buy,159915,0.36
2019-10-16,2019-10-17,sell,159949,0.4
2019-10-16,2019-10-17,buy,512200,0.4
2019-11-06,2019-11-07,sell,512200,0.68
2019-11-06,2019-11-07,buy,159949,0.68
2019-12-04,2019-12-05,sell,159915,0.28
2019-12-04,2019-12-05,buy,511260,0.28
2019-12-18,2019-12-19,sell,159949,0.2692307692307693
2019-12-18,2019-12-19,buy,512400,0.2692307692307693
2019-12-25,2019-12-26,sell,511260,0.9230769230769231
2019-12-25,2019-12-26,buy,159949,0.9230769230769231
2020-01-09,2020-01-10,sell,512400,0.7037037037037037
2020-01-09,2020-01-10,buy,511010,0.7037037037037037
2020-01-16,2020-01-17,sell,159949,0.2222222222222222
2020-01-16,2020-01-17,buy,511260,0.2222222222222222
2020-02-07,2020-02-10,sell,511010,0.8214285714285714
2020-02-07,2020-02-10,buy,159928,0.8214285714285714
2020-02-14,2020-02-17,sell,511260,0.3214285714285715
2020-02-14,2020-02-17,buy,512010,0.3214285714285715
2020-02-28,2020-03-02,sell,159928,0.5357142857142857
2020-02-28,2020-03-02,buy,159915,0.5357142857142857
2020-03-06,2020-03-09,sell,512010,0.1428571428571429
2020-03-06,2020-03-09,buy,512660,0.1428571428571429
2020-03-20,2020-03-23,sell,159915,0.7
2020-03-20,2020-03-23,buy,512200,0.7
2020-03-27,2020-03-30,sell,512660,0.6666666666666667
2020-03-27,2020-03-30,buy,512010,0.6666666666666667
2020-04-20,2020-04-21,sell,512200,0.5151515151515151
2020-04-20,2020-04-21,buy,512880,0.5151515151515151
2020-05-07,2020-05-08,sell,512010,0.6060606060606061
2020-05-07,2020-05-08,buy,159915,0.6060606060606061
2020-05-14,2020-05-15,sell,512880,0.7142857142857142
2020-05-14,2020-05-15,buy,510500,0.7142857142857142
2020-06-11,2020-06-12,sell,510500,0.2222222222222222
2020-06-11,2020-06-12,buy,159949,0.2222222222222222
2020-06-29,2020-06-30,sell,159915,0.33333333333333337
2020-06-29,2020-06-30,buy,510300,0.33333333333333337
2020-07-06,2020-07-07,sell,159949,0.4722222222222222
2020-07-06,2020-07-07,buy,512480,0.4722222222222222
2020-07-27,2020-07-28,sell,512480,0.18918918918918914
2020-07-27,2020-07-28,buy,510500,0.18918918918918914
2020-08-03,2020-08-04,sell,510300,0.21621621621621623
2020-08-03,2020-08-04,buy,159915,0.21621621621621623
2020-08-17,2020-08-18,sell,510500,0.10810810810810811
2020-08-17,2020-08-18,buy,159928,0.10810810810810811
2020-08-24,2020-08-25,sell,159915,0.4054054054054055
2020-08-24,2020-08-25,buy,512690,0.4054054054054055
2020-09-07,2020-09-08,sell,159928,0.43243243243243246
2020-09-07,2020-09-08,buy,159949,0.43243243243243246
2020-09-21,2020-09-22,sell,512690,0.8108108108108109
2020-09-21,2020-09-22,buy,510050,0.8108108108108109
2020-10-20,2020-10-21,sell,510050,0.3513513513513514
2020-10-20,2020-10-21,buy,512100,0.3513513513513514
2020-10-27,2020-10-28,sell,159949,0.6216216216216217
2020-10-27,2020-10-28,buy,512010,0.6216216216216217
2020-11-10,2020-11-11,sell,512100,0.42105263157894735
2020-11-10,2020-11-11,buy,510300,0.42105263157894735
2020-11-17,2020-11-18,sell,512010,0.2894736842105263
2020-11-17,2020-11-18,buy,511010,0.2894736842105263
2020-12-01,2020-12-02,sell,510300,0.2894736842105263
2020-12-01,2020-12-02,buy,512800,0.2894736842105263
2020-12-08,2020-12-09,sell,511010,0.3684210526315789
2020-12-08,2020-12-09,buy,159915,0.3684210526315789
2020-12-22,2020-12-23,sell,512800,0.8974358974358975
2020-12-22,2020-12-23,buy,159949,0.8974358974358975
2021-01-13,2021-01-14,sell,159915,0.1282051282051283
2021-01-13,2021-01-14,buy,159985,0.1282051282051283
2021-02-03,2021-02-04,sell,159949,0.7
2021-02-03,2021-02-04,buy,512010,0.7
2021-02-10,2021-02-18,sell,159985,0.5
2021-02-10,2021-02-18,buy,512690,0.5
2021-03-03,2021-03-04,sell,512010,0.44999999999999996
2021-03-03,2021-03-04,buy,515180,0.44999999999999996
2021-03-10,2021-03-11,sell,512690,0.7
2021-03-10,2021-03-11,buy,512200,0.7
