date,action,code,shares,price,fee,status,reason
2016-06-27,sell,159928,466200,1.35,125.87400000000001,filled,
2016-06-27,buy,518880,22500,2.827,12.7215,filled,
2016-07-04,sell,511010,500,111.92,11.192,filled,
2016-07-04,buy,159928,91700,1.375,25.2175,filled,
2016-07-18,sell,518880,22500,2.864,12.888,filled,
2016-07-18,buy,510050,269900,2.235,120.6453,filled,
2016-07-25,sell,159928,91700,1.465,26.868100000000002,filled,
2016-07-25,buy,511010,3200,112.206,71.81184,filled,
2016-08-15,sell,511010,3200,113.033,72.34112,filled,
2016-08-15,buy,510300,110300,3.355,74.0113,filled,
2016-08-22,sell,510050,269900,2.3,124.15400000000001,filled,
2016-08-22,buy,512010,140700,1.285,36.1599,filled,
2016-09-05,sell,510300,110300,3.375,74.4525,filled,
2016-09-05,buy,511010,5200,112.688,117.19552,filled,
2016-10-26,sell,512010,140700,1.306,36.750840000000004,filled,
2016-10-26,buy,510500,56800,6.856,77.88416000000001,filled,
2016-11-16,sell,511010,5200,112.914,117.43056000000001,filled,
2016-11-16,buy,510300,140200,3.485,97.71940000000001,filled,
2016-11-30,sell,510500,56800,6.92,78.61120000000001,filled,
2016-11-30,buy,159928,94300,1.511,28.49746,filled,
2016-12-07,sell,510300,140200,3.515,98.56060000000001,filled,
2016-12-07,buy,512010,86300,1.319,22.76594,filled,
2016-12-28,sell,159928,94300,1.441,27.177260000000004,filled,
2016-12-28,buy,511010,3900,110.439,86.14242,filled,
2017-01-12,buy,159928,46800,1.501,14.049359999999998,filled,
2017-01-19,sell,512010,86300,1.3,22.438000000000002,filled,
2017-01-26,sell,511010,3900,110.708,86.35224000000001,filled,
2017-01-26,buy,510050,274500,2.361,129.6189,filled,
2017-02-16,sell,159928,46800,1.501,14.049359999999998,filled,
2017-02-16,buy,510300,104900,3.423,71.81454000000001,filled,
2017-02-23,sell,510050,274500,2.395,131.4855,filled,
2017-02-23,buy,159928,70000,1.599,22.386000000000003,filled,
2017-03-16,sell,510300,104900,3.465,72.6957,filled,
2017-03-16,buy,512010,97000,1.345,26.093,filled,
2017-04-10,sell,159928,70000,1.611,22.554000000000002,filled,
2017-04-10,buy,518880,223300,2.799,125.00334,filled,
2017-04-17,sell,512010,97000,1.406,27.276400000000002,filled,
2017-04-17,buy,511010,3400,110.94,75.4392,filled,
2017-05-09,sell,518880,223300,2.741,122.41306000000002,filled,
2017-05-09,buy,512010,110800,1.419,31.445040000000002,filled,
2017-05-16,sell,511010,3400,108.838,74.00984,filled,
2017-05-16,buy,510050,255200,2.368,120.86272,filled,
2017-06-08,sell,510050,255200,2.478,126.47712000000003,filled,
2017-06-08,buy,159928,97200,1.678,32.62032,filled,
2017-06-22,sell,512010,110800,1.527,33.838319999999996,filled,
2017-06-22,buy,510300,172600,3.6,124.272,filled,
2017-07-06,sell,159928,97200,1.765,34.3116,filled,
2017-07-06,buy,510050,155000,2.557,79.26700000000001,filled,
2017-08-10,sell,510050,155000,2.663,82.553,filled,
2017-08-10,buy,159928,159300,1.867,59.48262,filled,
2017-08-17,sell,510300,172600,3.756,129.65712,filled,
2017-08-17,buy,159949,552300,0.735,81.1881,filled,
2017-08-31,sell,159928,159300,1.874,59.70564,filled,
2017-08-31,buy,510500,77400,6.79,105.1092,filled,
2017-09-14,sell,159949,552300,0.763,84.28098000000001,filled,
2017-09-14,buy,510300,121500,3.901,94.7943,filled,
2017-09-28,sell,510500,77400,6.92,107.1216,filled,
2017-09-28,buy,159928,171800,1.974,67.82664000000001,filled,
2017-10-12,sell,510300,121500,3.962,96.2766,filled,
2017-10-12,buy,512010,186400,1.561,58.19407999999999,filled,
2017-10-26,sell,159928,171800,2.17,74.5612,filled,
2017-10-26,buy,510300,152800,4.035,123.3096,filled,
2017-11-09,sell,512010,186400,1.704,63.52512,filled,
2017-11-09,buy,159928,201300,2.32,93.4032,filled,
2017-11-30,sell,159928,201300,2.158,86.88108,filled,
2017-11-30,buy,518880,16500,2.726,8.995800000000001,filled,
2017-12-07,sell,510300,152800,4.063,124.16527999999998,filled,
2017-12-07,buy,511010,600,109.53,13.143600000000001,filled,
2017-12-21,sell,518880,16500,2.679,8.8407,filled,
2017-12-21,buy,159928,30900,2.35,14.523000000000001,filled,
2018-01-05,sell,511010,600,109.586,13.150320000000002,filled,
2018-01-05,buy,510300,17300,4.179,14.459340000000003,filled,
2018-01-12,sell,159928,30900,2.51,15.511800000000001,filled,
2018-01-12,buy,510050,170100,2.991,101.75382000000002,filled,
2018-02-02,sell,510300,17300,4.21,14.566600000000001,filled,
2018-02-02,buy,511010,4600,109.763,100.98196000000002,filled,
2018-02-23,sell,510050,170100,2.934,99.81468000000001,filled,
2018-02-23,buy,518880,18600,2.712,10.088640000000002,filled,
2018-03-16,sell,518880,18600,2.687,9.99564,filled,
2018-03-16,buy,512010,28800,1.753,10.09728,filled,
2018-04-17,sell,512010,28800,1.802,10.37952,filled,
2018-04-17,buy,518880,18500,2.728,10.093600000000002,filled,
2018-05-10,sell,518880,18500,2.693,9.9641,filled,
2018-05-10,buy,512010,26300,1.922,10.10972,filled,
2018-05-31,sell,512010,26300,2.04,10.730400000000001,filled,
2018-05-31,buy,159928,149900,2.369,71.02262,filled,
2018-06-29,sell,159928,149900,2.2,65.956,filled,
2018-06-29,buy,518880,18600,2.66,9.8952,filled,
2018-09-07,sell,518880,18600,2.638,9.81336,filled,
2018-09-07,buy,512660,68100,0.726,9.88812,filled,
2018-10-08,sell,512660,68100,0.705,9.6021,filled,
2018-10-08,buy,512800,51000,0.968,9.8736,filled,
2018-10-29,sell,512800,51000,0.985,10.047,filled,
2018-10-29,buy,518880,17900,2.758,9.87364,filled,
2018-11-19,sell,518880,17900,2.718,9.73044,filled,
2018-11-19,buy,512880,61400,0.804,9.873120000000002,filled,
2018-12-10,sell,512880,61400,0.765,9.3942,filled,
2018-12-10,buy,511260,400,105.38,8.4304,filled,
2019-01-16,sell,511010,4600,116.504,107.18368000000001,filled,
2019-01-16,buy,512880,371100,0.797,59.15334000000001,filled,
2019-02-13,sell,511260,400,106.721,8.53768,filled,
2019-02-13,buy,512010,169400,1.447,49.02436000000001,filled,
2019-02-27,sell,512880,371100,1.035,76.81769999999999,filled,
2019-02-27,buy,512980,83700,0.815,13.6431,filled,
2019-03-06,sell,512010,169400,1.598,54.140240000000006,filled,
2019-03-06,buy,159915,48200,1.624,15.655360000000002,filled,
2019-03-20,sell,512980,83700,0.901,15.08274,filled,
2019-03-20,buy,512200,83800,0.933,15.637080000000003,filled,
2019-03-27,sell,159915,48200,1.567,15.105879999999999,filled,
2019-03-27,buy,511260,700,107.128,14.997920000000002,filled,
2019-04-18,sell,512200,83800,0.974,16.32424,filled,
2019-04-18,buy,510300,19200,4.067,15.617280000000003,filled,
2019-04-25,sell,511260,700,104.45,14.623000000000001,filled,
2019-04-25,buy,511010,600,115.84,13.9008,filled,
2019-05-14,sell,510300,19200,3.63,13.939200000000001,filled,
2019-05-14,buy,511260,700,105.95,14.833,filled,
2019-06-12,sell,511260,700,106.16,14.862400000000001,filled,
2019-06-12,buy,510050,27800,2.807,15.606919999999999,filled,
2019-07-03,sell,510050,27800,3.007,16.71892,filled,
2019-07-03,buy,512010,45700,1.713,15.656820000000002,filled,
2019-07-24,sell,512010,45700,1.63,14.898200000000001,filled,
2019-07-24,buy,511260,2900,107.168,62.15744000000001,filled,
2019-08-21,sell,511260,2900,108.009,62.645219999999995,filled,
2019-08-21,buy,512400,117100,0.669,15.667980000000002,filled,
2019-09-04,sell,511010,600,118.075,14.169,filled,
2019-09-04,buy,512980,411500,0.758,62.3834,filled,
2019-09-26,sell,512980,411500,0.771,63.453300000000006,filled,
2019-09-26,buy,511010,6600,118.285,156.1362,filled,
2019-10-10,sell,512400,117100,0.649,15.199580000000003,filled,
2019-10-10,buy,512800,397200,1.083,86.03352,filled,
2019-10-31,sell,512800,397200,1.111,88.25784,filled,
2019-10-31,buy,512010,231500,1.882,87.1366,filled,
2019-11-07,sell,511010,6600,118.211,156.03852,filled,
2019-11-07,buy,512800,528900,1.149,121.54122,filled,
2019-11-28,sell,512010,231500,1.903,88.1089,filled,
2019-11-28,buy,511010,4400,118.663,104.42344000000001,filled,
2019-12-05,sell,512800,528900,1.092,115.51176000000001,filled,
2019-12-05,buy,512400,855400,0.645,110.34660000000001,filled,
2019-12-19,sell,511010,4400,118.719,104.47272,filled,
2019-12-19,buy,512980,447900,0.839,75.15762,filled,
2020-01-03,sell,512400,855400,0.738,126.25704,filled,
2020-01-03,buy,512100,637200,0.73,93.0312,filled,
2020-01-10,sell,512980,447900,0.925,82.8615,filled,
2020-01-10,buy,159949,366200,0.698,51.12152,filled,
2020-02-03,sell,512100,637200,0.668,85.12992000000001,filled,
2020-02-03,buy,511010,4100,120.815,99.06830000000001,filled,
2020-02-24,sell,511010,4100,121.15,99.343,filled,
2020-02-24,buy,512100,89100,0.813,14.487659999999998,filled,
2020-03-02,sell,159949,366200,0.782,57.273680000000006,filled,
2020-03-02,buy,511260,700,111.75,15.645000000000001,filled,
2020-03-16,sell,512100,89100,0.776,13.828320000000001,filled,
2020-03-16,buy,511010,600,122.265,14.671800000000001,filled,
2020-04-21,sell,511260,700,113.46,15.884400000000001,filled,
2020-04-21,buy,159949,109000,0.761,16.5898,filled,
2020-05-08,sell,511010,600,125.448,15.05376,filled,
2020-05-08,buy,512010,270800,2.135,115.6316,filled,
2020-05-15,sell,159949,109000,0.8,17.44,filled,
2020-05-15,buy,518880,152000,3.818,116.0672,filled,
2020-05-29,sell,512010,270800,2.124,115.03584000000002,filled,
2020-05-29,buy,512690,312600,1.294,80.90088000000002,filled,
2020-06-05,sell,518880,152000,3.845,116.888,filled,
2020-06-05,buy,512010,120800,2.21,53.3936,filled,
