date,value,cash,holdings,return,nav
2026-03-24,1670600.4212600028,1031148.3212600028,159985|511260,0.0005394383124890378,1.6706004212600027
2026-03-25,1664981.821260003,1031148.3212600028,159985|511260,-0.0033632219461324775,1.664981821260003
2026-03-26,1665448.321260003,1031148.3212600028,159985|511260,0.0002801832392662629,1.6654483212600029
2026-03-27,1663909.9212600028,1031148.3212600028,159985|511260,-0.0009237152425337625,1.6639099212600028
2026-03-30,1665062.321260003,1031148.3212600028,159985|511260,0.0006925855692521132,1.6650623212600029
2026-03-31,1662678.7212600028,1031148.3212600028,159985|511260,-0.0014315380088574248,1.6626787212600027
2026-04-01,1661521.544480003,1068206.1444800028,511010|511260,-0.0006959713654860478,1.6615215444800029
2026-04-02,1661795.5444800027,1068206.1444800028,511010|511260,0.00016490908643951308,1.6617955444800028
2026-04-03,1661839.9444800029,1068206.1444800028,511010|511260,2.6718088243615767e-05,1.661839944480003
2026-04-07,1662052.1444800026,1068206.1444800028,511010|511260,0.00012768979389665702,1.6620521444800025
2026-04-08,1661981.3444800028,1068206.1444800028,511010|511260,-4.2597941487532154e-05,1.6619813444800027
2026-04-09,1662289.8444800028,1068206.1444800028,511010|511260,0.0001856218188156511,1.6622898444800027
2026-04-10,1662356.044480003,1068206.1444800028,511010|511260,3.982458307127956e-05,1.662356044480003
2026-04-13,1662744.044480003,1068206.1444800028,511010|511260,0.00023340366902058207,1.662744044480003
2026-04-14,1663625.1444800028,1068206.1444800028,511010|511260,0.0005299071753857021,1.6636251444800028
2026-04-15,1663742.9444800029,1068206.1444800028,511010|511260,7.080922068958273e-05,1.663742944480003
2026-04-16,1663838.4444800029,1068206.1444800028,511010|511260,5.740069421000804e-05,1.663838444480003
2026-04-17,1664662.1444800028,1068206.1444800028,511010|511260,0.0004950600839479513,1.6646621444800027
2026-04-20,1664702.7444800027,1068206.1444800028,511010|511260,2.4389333375784972e-05,1.6647027444800027
2026-04-21,1664951.3444800028,1068206.1444800028,511010|511260,0.00014933597053556902,1.6649513444800028
2026-04-22,1665683.3444800028,1068206.1444800028,511010|511260,0.0004396524873997443,1.6656833444800028
2026-04-23,1664752.093300003,1054932.893300003,159819|511260,-0.0005590805617921024,1.664752093300003
2026-04-24,1663439.7933000028,1054932.893300003,159819|511260,-0.00078828553829835,1.663439793300003
2026-04-27,1662941.2933000028,1054932.893300003,159819|511260,-0.00029968021806847656,1.6629412933000027
2026-04-28,1662730.093300003,1054932.893300003,159819|511260,-0.00012700388212782965,1.662730093300003
2026-04-29,1663536.7933000028,1054932.893300003,159819|511260,0.0004851659347782089,1.6635367933000027
2026-04-30,1665007.2933000028,1054932.893300003,159819|511260,0.0008839600097350075,1.6650072933000029
2026-05-06,1666479.2933000028,1054932.893300003,159819|511260,0.0008840802114942203,1.6664792933000028
2026-05-07,1668073.6933000027,1054932.893300003,159819|511260,0.0009567475614069565,1.6680736933000027
2026-05-08,1668060.0933000029,1054932.893300003,159819|511260,-8.15311700830268e-06,1.668060093300003
2026-05-11,1670149.393300003,1054932.893300003,159819|511260,0.0012525328124519675,1.670149393300003
2026-05-12,1670780.5459800027,1528873.3459800028,159801|159819,0.000377901930529001,1.6707805459800027
2026-05-13,1675161.1459800028,1528873.3459800028,159801|159819,0.0026218883207254073,1.6751611459800029
2026-05-14,1671802.4459800029,1528873.3459800028,159801|159819,-0.0020050011355982056,1.671802445980003
2026-05-15,1670039.8459800028,1528873.3459800028,159801|159819,-0.00105431117428878,1.6700398459800028
2026-05-18,1671411.4459800029,1528873.3459800028,159801|159819,0.0008212977692130252,1.671411445980003
2026-05-19,1674611.4903400028,1039277.6903400028,159801|511010,0.0019145760714374127,1.674611490340003
2026-05-20,1678798.1903400028,1039277.6903400028,159801|511010,0.0025001022769466363,1.6787981903400027
2026-05-21,1675724.9903400028,1039277.6903400028,159801|511010,-0.0018305952542023718,1.6757249903400029
2026-05-22,1678088.9903400028,1039277.6903400028,159801|511010,0.0014107326760821604,1.678088990340003
2026-05-25,1684428.9903400028,1039277.6903400028,159801|511010,0.003778107142408116,1.6844289903400027
2026-05-26,1684148.8903400027,1039277.6903400028,159801|511010,-0.00016628780530758558,1.6841488903400028
2026-05-27,1681695.7903400026,1039277.6903400028,159801|511010,-0.0014565814305793623,1.6816957903400027
2026-05-28,1682354.590340003,1039277.6903400028,159801|511010,0.0003917474276766697,1.682354590340003
2026-05-29,1677627.1903400028,1039277.6903400028,159801|511010,-0.0028099902524382214,1.6776271903400028
2026-06-01,1672949.9903400028,1039277.6903400028,159801|511010,-0.00278798533245761,1.672949990340003
2026-06-02,1671610.105880003,1064880.5058800029,511010|515220,-0.0008009112452473932,1.671610105880003
2026-06-03,1673710.105880003,1064880.5058800029,511010|515220,0.0012562738120649453,1.673710105880003
2026-06-04,1675090.105880003,1064880.5058800029,511010|515220,0.0008245155449273511,1.675090105880003
2026-06-05,1673646.5058800029,1064880.5058800029,511010|515220,-0.0008618043858851232,1.673646505880003
