date,gross_return,cost,net_return,n_holdings,exposure,equity_gross,equity_net
2024-01-24,-0.0016917179264140684,0.0,-0.0016917179264140684,40,1.0,3.891172484533885,3.8712022636616936
2024-01-25,0.0043578562374920835,0.0,0.0043578562374920835,40,1.0,3.908129654816769,3.8880724065929857
2024-01-26,0.0008389566492101874,0.0,0.0008389566492101874,40,1.0,3.911408406176653,3.8913343307911075
2024-01-29,0.0054136435515597,0.0,0.0054136435515597,40,1.0,3.932583377072268,3.9124006277979575
2024-01-30,-0.001554535507945995,0.0,-0.001554535507945995,40,1.0,3.9264700365746505,3.9063186621007353
2024-01-31,-0.011227585752829217,0.0,-0.011227585752829217,40,1.0,3.882385257533094,3.862460134344122
2024-02-01,0.011244177468488728,3.523915253903844e-05,0.01120893831594969,40,1.0,3.926039486369841,3.9057542117378
2024-02-02,0.00511690706084107,0.0,0.00511690706084107,40,1.0,3.9461286655387875,3.925739593041751
2024-02-05,-0.005165065708626301,0.0,-0.005165065708626301,40,1.0,3.9257466516865858,3.9054628900887343
2024-02-06,-0.00022721221649216466,0.0,-0.00022721221649216466,40,1.0,3.9248546740884693,3.9045755212090496
2024-02-07,0.008826492803548663,0.0,0.008826492803548663,40,1.0,3.9594973756242853,3.9390392289479133
2024-02-08,0.003482344178393948,0.0,0.003482344178393948,40,1.0,3.973285708259657,3.9527563192753057
2024-02-09,0.0070303887580493996,0.0,0.0070303887580493996,40,1.0,4.0012194514355235,3.9805457328656475
2024-02-12,0.0010993991093355502,0.0,0.0010993991093355502,40,1.0,4.005618388536687,3.9849219412990293
2024-02-13,-0.015718727087599485,0.0,-0.015718727087599485,40,1.0,3.9426551662702094,3.922284040838363
2024-02-14,0.008476717800187949,0.0,0.008476717800187949,40,1.0,3.976075941498135,3.9555321357847304
2024-02-15,0.008095262931701616,0.0,0.008095262931701616,40,1.0,4.0082633216809755,3.9875532084587033
2024-02-16,-0.005473053372879322,0.0,-0.005473053372879322,40,1.0,3.986325882588861,3.965729116921613
2024-02-20,-0.006426535405096618,0.0,-0.006426535405096618,40,1.0,3.9607076181681506,3.9402432183446936
2024-02-21,6.967117008969135e-05,0.0,6.967117008969135e-05,40,1.0,3.9609835653022913,3.9405177397001534
2024-02-22,0.016773190584115787,0.0,0.016773190584115787,40,1.0,4.027421897543657,4.006612794748233
2024-02-23,0.001690402661365459,0.0,0.001690402661365459,40,1.0,4.034229862237706,4.013385583679537
2024-02-26,-0.001383357106243177,0.0,-0.001383357106243177,40,1.0,4.0286490816895615,4.007833638212261
2024-02-27,0.00260617477809118,0.0,0.00260617477809118,40,1.0,4.039148445316041,4.018278753154955
2024-02-28,0.004975312284845532,0.0,0.004975312284845532,40,1.0,4.059244470196337,4.038270944799461
2024-02-29,0.006399802420892196,0.0,0.006399802420892196,40,1.0,4.085222832783693,4.064115080968207
2024-03-01,0.008822144451426603,5.360423434150601e-05,0.008768540217085096,40,1.0,4.121263258730777,4.0997514375025395
2024-03-04,0.003917547476203034,0.0,0.003917547476203034,40,1.0,4.137408503208786,4.115812408399587
2024-03-05,-0.00843067627587397,0.0,-0.00843067627587397,40,1.0,4.1025273514971845,4.081113326372145
2024-03-06,0.007264023822575245,0.0,0.007264023822575245,40,1.0,4.132328207911226,4.110758630797541
2024-03-07,0.008198235728665248,0.0,0.008198235728665248,40,1.0,4.166206008667895,4.144459599076464
2024-03-08,-0.006789593406926422,0.0,-0.006789593406926422,40,1.0,4.137919163819546,4.116320403507302
2024-03-11,-0.0011910477864372718,0.0,-0.0011910477864372718,40,1.0,4.132990704359022,4.111417669202438
2024-03-12,0.005657203194890492,0.0,0.005657203194890492,40,1.0,4.156371872576175,4.134676794376179
2024-03-13,-0.003902302628459936,0.0,-0.003902302628459936,40,1.0,4.140152451692964,4.118542034253652
2024-03-14,-0.004538104493693327,0.0,-0.004538104493693327,40,1.0,4.121364007247362,4.099851660140541
2024-03-15,-0.007459039168819333,0.0,-0.007459039168819333,40,1.0,4.090622591688342,4.069270706021204
2024-03-18,0.0019617255326262488,0.0,0.0019617255326262488,40,1.0,4.098647270470795,4.0772534982643736
2024-03-19,0.00371688556151093,0.0,0.00371688556151093,40,1.0,4.113881473332134,4.092408182922692
2024-03-20,0.009649762585699015,0.0,0.009649762585699015,40,1.0,4.153579452855494,4.131898950291668
2024-03-21,0.0031607380680231893,0.0,0.0031607380680231893,40,1.0,4.166707829550694,4.14495880059708
2024-03-22,-0.003103319221276713,0.0,-0.003103319221276713,40,1.0,4.153777205053805,4.132095670279787
2024-03-25,-0.0009556792875351606,0.0,-0.0009556792875351606,40,1.0,4.149807526213899,4.128146712033587
2024-03-26,-0.0011752181688867575,0.0,-0.0011752181688867575,40,1.0,4.14493059701171,4.123295239013775
2024-03-27,0.01030791616329035,0.0,0.01030791616329035,40,1.0,4.187656194108364,4.165797820654023
2024-03-28,0.0023154516133039094,0.0,0.0023154516133039094,40,1.0,4.197352509398974,4.175443523938554
2024-04-01,-0.00488723108709856,7.121698188636746e-05,-0.004958448068984927,40,1.0,4.176839077731528,4.154739804060125
2024-04-02,-0.008888118675298415,0.0,-0.008888118675298415,40,1.0,4.139714836321026,4.117811983616653
2024-04-03,0.0006865984437184674,0.0,0.0006865984437184674,40,1.0,4.142557158085083,4.12063926691613
2024-04-04,-0.016121939916622655,0.0,-0.016121939916622655,40,1.0,4.07577110048126,4.054206568236832
2024-04-05,0.011161899854808805,0.0,0.011161899854808805,40,1.0,4.121264449335956,4.0994592159422
2024-04-08,0.0005902795713371906,0.0,0.0005902795713371906,40,1.0,4.123697147548477,4.101879042970901
2024-04-09,0.0023961708266435336,0.0,0.0023961708266435336,40,1.0,4.133578230351346,4.1117078458680885
2024-04-10,-0.015394049202002017,0.0,-0.015394049202002017,40,1.0,4.069945723692993,4.048412012984537
2024-04-11,0.0029218033964636186,0.0,0.0029218033964636186,40,1.0,4.081837304931901,4.060240676954359
2024-04-12,-0.01751335437505762,0.0,-0.01751335437505762,40,1.0,4.010350641709299,3.989132243130833
2024-04-15,-0.01079059693221468,0.0,-0.01079059693221468,40,1.0,3.9670765643777655,3.946087124985907
2024-04-16,-0.0033864521984649652,0.0,-0.0033864521984649652,40,1.0,3.9536422492248495,3.932723889566164
2024-04-17,-0.0066391905935096335,0.0,-0.0066391905935096335,40,1.0,3.927393264793694,3.906613786111686
2024-04-18,0.0002451082202702655,0.0,0.0002451082202702655,40,1.0,3.928355901167129,3.9075713292640835
2024-04-19,0.0024919750697377455,0.0,0.0024919750697377455,40,1.0,3.9381452661378944,3.9173088995998313
2024-04-22,0.007299741945037127,0.0,0.007299741945037127,40,1.0,3.9668927103227705,3.9459042436859075
2024-04-23,0.008830895730230973,0.0,0.008830895730230973,40,1.0,4.001923926220644,3.9807501126233737
2024-04-24,0.0003453582253676366,0.0,0.0003453582253676366,40,1.0,4.00330602356586,3.9821248974179015
2024-04-25,-0.0019148235104738927,0.0,-0.0019148235104738927,40,1.0,3.995640399072314,3.9744998310426825
2024-04-26,0.0021886025029122184,0.0,0.0021886025029122184,40,1.0,4.004385267650461,3.983198431320727
2024-04-29,0.005250506790753851,0.0,0.005250506790753851,40,1.0,4.025410319691054,4.004112241733297
2024-04-30,-0.013003277034297727,0.0,-0.013003277034297727,40,1.0,3.9730667941273903,3.952045660977616
2024-05-01,-0.003345968943508676,5.315810869508558e-05,-0.0033991270522037618,40,1.0,3.9597730360237544,3.938612155659842
2024-05-02,0.003510842574744341,0.0,0.003510842574744341,40,1.0,3.973675175784951,3.952440002901338
2024-05-03,0.012939249288357369,0.0,0.012939249288357369,40,1.0,4.025091549475389,4.0035816093961545
2024-05-06,0.011205211861067058,0.0,0.011205211861067058,40,1.0,4.070193553047452,4.0484425895325105
2024-05-07,-0.0004450280125563228,0.0,-0.0004450280125563228,40,1.0,4.06838220289982,4.046640919172942
2024-05-08,0.002049494208088304,0.0,0.002049494208088304,40,1.0,4.076720328660953,4.0549344862989996
2024-05-09,0.004176041775383513,0.0,0.004176041775383513,40,1.0,4.093744883059996,4.0718680621102274
2024-05-10,0.00044150866560105687,0.0,0.00044150866560105687,40,1.0,4.095552306900627,4.073665827144834
2024-05-13,-0.002800540110022717,0.0,-0.002800540110022717,40,1.0,4.084082548392456,4.062257362601086
2024-05-14,0.0034127354115284056,0.0,0.0034127354115284056,40,1.0,4.09802044152896,4.0761207721531765
2024-05-15,0.008736153041022716,0.0,0.008736153041022716,40,1.0,4.133821375271397,4.111730387032399
2024-05-16,-0.0011818971555956075,0.0,-0.0011818971555956075,40,1.0,4.128935623546224,4.106870744583389
2024-05-17,0.0010401607243241372,0.0,0.0010401607243241372,40,1.0,4.1332303802151,4.111142550231781
2024-05-20,-0.000493869771277594,0.0,-0.000493869771277594,40,1.0,4.131189102672585,4.109112181200809
2024-05-21,-0.0016775711488244383,0.0,-0.0016775711488244383,40,1.0,4.124258739023604,4.102218853158344
2024-05-22,-0.00025529924886803497,0.0,-0.00025529924886803497,40,1.0,4.123205818865395,4.10117155976644
2024-05-23,-0.013870716597554855,0.0,-0.013870716597554855,40,1.0,4.066013999478524,4.044285371342967
2024-05-24,0.005961021722520969,0.0,0.005961021722520969,40,1.0,4.09025159725349,4.0683934442936165
2024-05-28,-0.006214164165255576,0.0,-0.006214164165255576,40,1.0,4.064834102350957,4.043111779541927
2024-05-29,-0.010782244358662426,0.0,-0.010782244358662426,40,1.0,4.021006067781985,3.9995179603655195
2024-05-30,0.0011576936696150561,0.0,0.0011576936696150561,40,1.0,4.025661161052141,4.004148176989747
2024-05-31,0.010513214187794358,0.0,0.010513214187794358,40,1.0,4.067983799085767,4.046244644414107
2024-06-03,-0.001842667099918694,5.374039802571672e-05,-0.0018964074979444109,40,1.0,4.06048785917619,4.0385713157319225
2024-06-04,-0.0024932207265184673,0.0,-0.0024932207265184673,40,1.0,4.050364166685915,4.028502266022016
2024-06-05,0.007170841798334876,0.0,0.007170841798334876,40,1.0,4.079408687350864,4.057390018455894
2024-06-06,-0.000913013819878078,0.0,-0.000913013819878078,40,1.0,4.075684130842382,4.0536855652964086
2024-06-07,0.001012342873468999,0.0,0.001012342873468999,40,1.0,4.0798101206267505,4.05778928498972
2024-06-10,0.0021515796248750413,0.0,0.0021515796248750413,40,1.0,4.08858815695565,4.06651994173734
2024-06-11,-0.004436228568350173,0.0,-0.004436228568350173,40,1.0,4.070450245369545,4.04847992979804
2024-06-12,0.0076371553629739925,0.0,0.0076371553629739925,40,1.0,4.101536906290688,4.079398800005789
2024-06-13,0.0014315345589783648,0.0,0.0014315345589783648,40,1.0,4.107408398116968,4.085238600367852
2024-06-14,0.000253065709241101,0.0,0.000253065709241101,40,1.0,4.10844784233638,4.086272434171673
