,frozen_80_20_spy_dc,exp_80_20_vti_dc
2021-11-29,0.012455749098807346,0.010168007900792808
2021-11-30,-0.018015790858595462,-0.0184356615297298
2021-12-01,-0.009194572684919322,-0.011582891291595222
2021-12-02,0.012977301732525547,0.013723807525321286
2021-12-03,-0.008687466477205441,-0.010995237371912681
2021-12-06,0.010275187741622161,0.011077655235827657
2021-12-07,0.019535685623464794,0.020104199560475423
2021-12-08,0.002562474939827053,0.0038894425026779426
2021-12-09,-0.0068712988263567205,-0.00909699796669653
2021-12-10,0.008620301246891539,0.006536812271262649
2021-12-13,-0.008531360342957773,-0.00872550592422049
2021-12-14,-0.006541175000584332,-0.0070367064134352125
2021-12-15,0.01478131740625799,0.014608784305330082
2021-12-16,-0.00960926453142853,-0.011517472681550445
2021-12-17,-0.009014571793259806,-0.004153365905308226
2021-12-20,-0.009478032398668646,-0.012218359676848324
2021-12-21,0.016437469667631287,0.017911070024354037
2021-12-22,0.009218750508812757,0.00912937023099374
2021-12-23,0.005740029704826944,0.006284858791324544
2021-12-27,0.01296110067061963,0.012144277289713401
2021-12-28,-0.0011158648003904204,-0.0021082845187745725
2021-12-29,0.0010035772964367307,0.00044216980323995574
2021-12-30,-0.002510599362588739,-0.0015852223352870289
2021-12-31,-0.0026313589023289063,-0.003158542724470004
2022-01-03,0.0051334187748516506,0.005571289438287374
2022-01-04,7.037158008770249e-05,-0.001176391717063552
2022-01-05,-0.018151833012186147,-0.02014203461262958
2022-01-06,-0.0013939368143234933,-0.0008446981018183531
2022-01-07,-0.0031448013464027594,-0.0036245817615430777
2022-01-10,-0.0020343385375104937,-0.002428182479269148
2022-01-11,0.009382891861213005,0.010072542027416398
2022-01-12,0.003506084354848971,0.002586597200609153
2022-01-13,-0.013108210536863663,-0.013795675195080292
2022-01-14,0.00014116018881438208,0.00012048431036433272
2022-01-18,-0.017414243215546833,-0.018802626803381784
2022-01-19,-0.00935693253041695,-0.009451020860168902
2022-01-20,-0.010584937850850596,-0.01106280195242646
2022-01-21,-0.019050222054987565,-0.019177449626568158
2022-01-24,0.0027503784909939655,0.004495412602462301
2022-01-25,-0.011506686482218611,-0.01293011811770325
2022-01-26,-0.002688315015173648,-0.003783227765169206
2022-01-27,-0.0050852106936971845,-0.007069524602660927
2022-01-28,0.022807139868461057,0.02264813372181003
2022-01-31,0.017805688200073014,0.020398789197327193
2022-02-01,0.0060298627599045815,0.0067264141240585005
2022-02-02,0.007757094258210451,0.005271704899837993
2022-02-03,-0.01880373211326396,-0.019021810183170153
2022-02-04,0.003759624205093015,0.005305690160523735
2022-02-07,-0.0025552522365179134,-0.002005027084280564
2022-02-08,0.006578342680640171,0.007339535083569638
2022-02-09,0.011712755656924824,0.013011092383360246
2022-02-10,-0.014382529430734814,-0.01357005937178999
