end,start,dc_cagr,a_cagr,cagr_gap_dc_minus_a,dc_sharpe,a_sharpe,dc_sharpe_better,dc_dd,a_dd,dc_dd_better
2010-12-31,2008-01-03,0.027586607502671612,0.07237367262826688,-0.04478706512559527,0.26281446518272905,0.5319071553338225,False,-0.1718629801809014,-0.22441751296534118,True
2011-02-01,2008-02-04,0.029188200150889188,0.09253636232744777,-0.06334816217655859,0.2767950187775721,0.6554084455053223,False,-0.1718629801809014,-0.22441751296534107,True
2011-03-03,2008-03-05,0.021372913595597787,0.08803155856585487,-0.06665864497025709,0.22075146870624673,0.6257444834017201,False,-0.17186298018090196,-0.22441751296534096,True
2011-04-01,2008-04-04,0.03192148841757847,0.09822020428861289,-0.06629871587103442,0.29244745178718773,0.6867571388647493,False,-0.17186298018090151,-0.20101621953752546,True
2011-05-03,2008-05-05,0.05641255574254633,0.12493082042881531,-0.06851826468626898,0.45722438780776614,0.8429881376920213,False,-0.17186298018090196,-0.19569422904976164,True
2011-06-02,2008-06-04,0.049606289868311615,0.11341529855314691,-0.0638090086848353,0.40706920276800185,0.7743971965329325,False,-0.17186298018090218,-0.17607667780506076,True
2011-07-01,2008-07-03,0.052276752937487236,0.12103668289001157,-0.06875992995252433,0.41785211141570805,0.8144983330027095,False,-0.17186298018090185,-0.1720128680777009,True
2011-08-02,2008-08-04,0.07364119918385725,0.13613144911532515,-0.0624902499314679,0.5531045285296693,0.9028438301563161,False,-0.1718629801809023,-0.1626660390900242,False
2011-08-31,2008-09-03,0.08730565276318503,0.18056418522282724,-0.09325853245964222,0.6304059496733168,1.1426346158633234,False,-0.17186298018090196,-0.16266603909002375,False
2011-09-30,2008-10-02,0.06695138443562088,0.17459454113443096,-0.10764315669881008,0.5002898255551254,1.13022651775031,False,-0.17186298018090174,-0.16266603909002386,False
2011-10-31,2008-10-31,0.07760149946043282,0.18631913060784444,-0.10871763114741162,0.5627660838003962,1.1891622736104437,False,-0.17186298018090218,-0.16266603909002442,False
2011-11-30,2008-12-02,0.0651895242613072,0.18844615801055742,-0.12325663374925022,0.48624389278643493,1.1683382096579604,False,-0.17186298018090163,-0.16266603909002442,False
2011-12-30,2009-01-02,0.06239738932206973,0.16722388748602368,-0.10482649816395395,0.4695137963755464,1.0476375577784558,False,-0.17186298018090174,-0.16266603909002353,False
2012-02-01,2009-02-03,0.06857117634181265,0.1629505425536908,-0.09437936621187815,0.5074516668164025,1.036569963841189,False,-0.17186298018090196,-0.16266603909002475,False
2012-03-02,2009-03-05,0.08051679323973149,0.1702536893220239,-0.0897368960822924,0.5799549923194103,1.07530118978831,False,-0.17186298018090163,-0.16266603909002442,False
2012-04-02,2009-04-03,0.08224238776712123,0.18802238170907382,-0.10577999394195259,0.5907082307427222,1.1734247649162517,False,-0.17186298018090174,-0.16266603909002453,False
2012-05-02,2009-05-05,0.07921593075583089,0.17829584843410062,-0.09907991767826974,0.57065163825639,1.1165258729870264,False,-0.1718629801809013,-0.16266603909002342,False
2012-06-01,2009-06-04,0.06619287913053173,0.1214484594989167,-0.05525558036838496,0.4906442279817738,0.7980610310484125,False,-0.17186298018090196,-0.16266603909002353,False
2012-07-02,2009-07-06,0.06864868909683297,0.16020633743973267,-0.0915576483428997,0.5066457261776912,1.0078712484052037,False,-0.17186298018090151,-0.1626660390900243,False
2012-08-01,2009-08-04,0.07060408349717417,0.1146968381916571,-0.04409275469448293,0.518386268426353,0.7649781522446788,False,-0.17186298018090163,-0.16266603909002297,False
2012-08-30,2009-09-02,0.07098100658654061,0.13224925454317105,-0.06126824795663044,0.5212941501540372,0.8741769521428224,False,-0.1718629801809014,-0.16266603909002364,False
2012-10-01,2009-10-02,0.08241847492198717,0.12392332795538064,-0.04150485303339346,0.5915249456636426,0.8312187898248543,False,-0.17186298018090218,-0.16266603909002442,False
2012-11-01,2009-11-02,0.07487918874431831,0.1062075599140937,-0.03132837116977538,0.5587560697241895,0.7308611472752875,False,-0.1718629801809023,-0.16266603909002486,False
2012-12-03,2009-12-02,0.03694558672907089,0.06660345065533657,-0.029657863926265682,0.32008167004182747,0.49418390075643426,False,-0.17186298018090185,-0.1626660390900242,False
2013-01-03,2010-01-04,0.06577460884790476,0.08995067568166237,-0.024176066833757615,0.5102665092833316,0.6371821930802148,False,-0.17186298018090185,-0.16266603909002442,False
2013-02-04,2010-02-03,0.08826027242778167,0.10720756089868266,-0.01894728847090099,0.6674091737682571,0.7493821610245773,False,-0.17186298018090196,-0.16266603909002397,False
2013-03-06,2010-03-05,0.08911916981104229,0.10371187873420462,-0.014592708923162334,0.681522232167263,0.7299398797060818,False,-0.17186298018090185,-0.16266603909002453,False
2013-04-05,2010-04-06,0.07078091409231457,0.07619278832384202,-0.005411874231527447,0.5581141244202089,0.562046412275094,False,-0.17186298018090174,-0.1626660390900243,False
2013-05-06,2010-05-05,0.09822877869632629,0.08627588201802072,0.011952896678305569,0.7465937673848585,0.6277925244262738,True,-0.13328988582573786,-0.130761024731038,False
