asof,portfolio_id,event,side,symbol,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights
2006-07-03,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 710.8774844415051, 'IEF': 880.5219247211463}",,,,,,,104542.51516776705,0.0033915117413769735,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999882983871333, 'SPY': 0.6000116691714075}"
2006-08-01,traditional_60_40_ief,FILL,SELL,IEF,-8.394550200930325,48.22478941848233,404.8254157027435,1.0,0.20241270785137175,0.4,872.127374520216,,,,
2006-08-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,4.56362143298026,88.1761077515746,402.4023752118627,1.0,0.20120118760593136,0.6,715.4686238956873,,,,
2006-08-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 715.4411058744854, 'IEF': 872.127374520216}",,,,,,,105142.99384193277,0.02281810716488053,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40000914417140937, 'SPY': 0.5999906388088319}"
2006-09-01,traditional_60_40_ief,FILL,SELL,SPY,-3.0911195406611114,90.80743570600198,280.6966389481503,1.0,0.14034831947407514,0.6,712.3499863338243,,,,
2006-09-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,5.667348360924121,49.125543107700025,278.411566210931,1.0,0.13920578310546552,0.4,877.8417023280508,,,,
2006-09-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 712.3499863338243, 'IEF': 877.7947228811402}",,,,,,,107808.846419531,0.028336741804594112,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998705051348094, 'SPY': 0.6000126866440647}"
2006-10-02,traditional_60_40_ief,FILL,SELL,SPY,-3.0854645692437543,92.87597345756572,286.5655254373424,1.0,0.14328276271867119,0.6,709.2645217645805,,,,
2006-10-02,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,5.7195540061625225,49.703148430670986,284.2798417255347,1.0,0.14213992086276736,0.4,883.5608337056667,,,,
2006-10-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 709.2645217645805, 'IEF': 883.5142768873027}",,,,,,,109787.1027403168,0.028597770030842184,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999872494004739, 'SPY': 0.6000124901156504}"
2006-11-01,traditional_60_40_ief,FILL,SELL,SPY,-7.805048888940519,96.13088213603434,750.3062348087268,1.0,0.3751531174043634,0.6,701.45947287564,,,,
2006-11-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,14.940564106651477,50.03232914729879,747.5112210303048,1.0,0.37375561051515244,0.4,898.5112767345356,,,,
2006-11-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 701.45947287564, 'IEF': 898.4548409939541}",,,,,,,112383.78094162697,0.07470282053338906,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999846592805222, 'SPY': 0.6000146760077204}"
