asof,portfolio_id,event,symbol,target_weight,lookthrough_targets,side,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights,need
2006-12-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-0.060618298190320274,97.73746661535976,5.924678895656351,1.0,0.002962339447828175,0.8,964.8965385123994,,,,,
2006-12-01,candidate_80_20_dc,FILL,IEF,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-231.45758299962748,50.625137256503564,11717.571908414708,1.1572879149981374,5.858785954207353,0.0,0.0,,,,,
2006-12-01,candidate_80_20_dc,FILL,IWM,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-197.50026976989395,60.01567081597691,11853.11117657659,1.0,5.926555588288295,0.0,0.0,,,,,
2006-12-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,534.2432132548095,22.06545185796117,11788.31790251648,2.6712160662740474,5.89415895125824,0.1,534.2432132548095,,,,,
2006-12-01,candidate_80_20_dc,PARTIAL_FILL,GLD,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,183.13104879972835,64.19999694824219,11757.01277407095,1.0,5.8785063870354755,0.1,183.61866764604645,,,,,
2006-12-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",,"{'SPY': 964.8965385123994, 'VWO': 534.2432132548095, 'GLD': 183.13104879972835}",,,,,,,117852.78955196327,0.9156552439999359,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}","{'VWO': 0.10002578596002443, 'GLD': 0.0997601568767881, 'SPY': 0.8002062876801953}",
2007-01-03,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'IWM': 0.1}",SELL,-15.445667965380835,23.12918906381302,357.2457745881735,1.0,0.17862288729408674,0.1,518.7975452894286,,,,,
2007-01-03,candidate_80_20_dc,FILL,GLD,,"{'SPY': 0.8, 'VWO': 0.1, 'IWM': 0.1}",SELL,-183.13104879972835,63.58000183105469,11643.472418009693,1.0,5.821736209004847,0.0,0.0,,,,,
2007-01-03,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'IWM': 0.1}",BUY,0.022790758327232652,99.48493016435067,2.267337000577334,1.0,0.001133668500288667,0.8,964.9193292707266,,,,,
2007-01-03,candidate_80_20_dc,PARTIAL_FILL,IWM,,"{'SPY': 0.8, 'VWO': 0.1, 'IWM': 0.1}",BUY,197.47134103611347,60.67911629741709,11982.386468137242,1.0,5.991193234068621,0.1,197.7511744242733,,,,,
2007-01-03,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'IWM': 0.1}",,"{'SPY': 964.9193292707266, 'VWO': 518.7975452894286, 'IWM': 197.47134103611347}",,,,,,,119977.67242241405,0.987356705178172,"{'SPY': 0.8, 'VWO': 0.1, 'IWM': 0.1}","{'VWO': 0.10001332971850176, 'SPY': 0.800106637748014, 'IWM': 0.09987180302973364}",
2007-02-01,candidate_80_20_dc,FILL,IWM,,"{'SPY': 0.9, 'VWO': 0.1}",SELL,-197.47134103611347,61.442606474833006,12133.153897339462,1.0,6.066576948669731,0.0,0.0,,,,,
2007-02-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.9, 'VWO': 0.1}",BUY,118.47753955493704,100.81370836644344,11944.160120665189,1.0,5.972080060332594,0.9,1083.3968688256637,,,,,
2007-02-01,candidate_80_20_dc,PARTIAL_FILL,VWO,,"{'SPY': 0.9, 'VWO': 0.1}",BUY,7.592236511227183,23.02577196799153,174.8171066345767,1.0,0.08740855331728835,0.1,527.0483493729381,,,,,
2007-02-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.9, 'VWO': 0.1}",,"{'SPY': 1083.3968688256637, 'VWO': 526.3897818006558}",,,,,,,121341.82502211371,0.03796118255610281,"{'SPY': 0.9, 'VWO': 0.1}","{'VWO': 0.09988749616889177, 'SPY': 0.900112190986114}",
2007-03-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-121.5573519363586,97.44979305619924,11845.738790657726,1.0,5.922869395328863,0.8,961.8395168893051,,,,,
2007-03-01,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,5.87829075715706,22.012183969562802,129.39401757312183,1.0,0.06469700878656091,0.1,532.2680725578128,,,,,
2007-03-01,candidate_80_20_dc,PARTIAL_FILL,GLD,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,176.66708302336426,66.2300033569336,11700.66150169708,1.0,5.85033075084854,0.1,176.90445629489156,,,,,
2007-03-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",,"{'SPY': 961.8395168893051, 'VWO': 532.2680725578128, 'GLD': 176.66708302336426}",,,,,,,117148.9894455168,0.8833354151156527,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}","{'VWO': 0.1000126658345285, 'GLD': 0.09987846721579088, 'SPY': 0.8001013266762281}",
2007-04-02,candidate_80_20_dc,FILL,VWO,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",SELL,-18.148469933514207,23.35082764073564,423.78179336056326,1.0,0.21189089668028163,0.1,514.1196026242986,,,,,
2007-04-02,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,0.3370245790321178,99.81634521484375,33.64056172655726,1.0,0.01682028086327863,0.8,962.1765414683372,,,,,
2007-04-02,candidate_80_20_dc,PARTIAL_FILL,GLD,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",BUY,5.895537032015494,65.73999786376953,387.5725918904728,1.0,0.1937862959452364,0.1,182.61512956664893,,,,,
2007-04-02,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}",,"{'SPY': 962.1765414683372, 'VWO': 514.1196026242986, 'GLD': 182.56262005537974}",,,,,,,120047.75977856146,0.029477685160031797,"{'SPY': 0.8, 'VWO': 0.1, 'GLD': 0.1}","{'VWO': 0.10000285094655645, 'GLD': 0.09997409593134392, 'SPY': 0.8000228075724516}",
