date,net_return,nav,cash,equity_net
2009-09-09,0.004974752740588784,108738.87190886475,0.02019796631071813,1.0937948026453423
2009-09-10,0.009129825688173776,109731.63885492133,0.02019796631071813,1.1037809585321245
2009-09-11,0.001047279688257019,109846.55857145324,0.02019796631071813,1.1049369259102801
2009-09-14,0.0006183029943491736,109914.47702753692,0.02019796631071813,1.1056201117201374
2009-09-15,0.0017196287401113342,110103.48912118778,0.02019796631071813,1.1075213678398965
2009-09-16,0.008904665832456748,111083.92389879949,0.02019796631071813,1.117383475522816
2009-09-17,0.0010023358684796424,111195.26730013473,0.02019796631071813,1.118503469059179
2009-09-18,-0.0016933650537199751,111006.97312034963,0.02019796631071813,1.11660943437221
2009-09-21,-0.0018029125600438345,110806.83725425851,0.02019796631071813,1.1145962851983169
2009-09-22,0.004584817538724417,111314.86638511243,0.02019796631071813,1.1197065057952913
2009-09-23,-0.004240499795200803,110842.83571700356,0.02019796631071813,1.1149583905867813
2009-09-24,-0.0056533068443227474,110216.20715520048,0.02019796631071813,1.108655188686142
2009-09-25,-0.0016478434604650927,110034.58809900252,0.02019796631071813,1.106828298483555
2009-09-28,0.01150446120279347,111300.47674875284,0.02019796631071813,1.1195617617016127
2009-09-29,-0.002000039365824713,111077.87141382028,0.02019796631071813,1.1173225941057374
2009-09-30,-0.002051477811392255,110849.99762527815,0.02019796631071813,1.1150304315957624
2009-10-01,-0.012103257035976256,109508.35161158205,0.0034254926423500365,1.1015349316792233
2009-10-02,-0.0029655319138197633,109183.60110004811,0.0034254926423500365,1.0982682946851412
2009-10-05,0.0088837292477566,110153.558650516,0.0034254926423500365,1.1080250128565194
2009-10-06,0.007328019058635782,110960.76602768354,0.0034254926423500365,1.1161446412681773
2009-10-07,0.004181015908472974,111424.69475566162,0.0034254926423500365,1.1208112597694762
2009-10-08,0.003186784453958147,111779.781240696,0.0034254926423500365,1.124383043667931
2009-10-09,-6.28553529701259e-05,111772.75528309119,0.0034254926423500365,1.1243123701748474
2009-10-12,0.003536514975629901,112168.04130601726,0.0034254926423500365,1.1282885177092568
2009-10-13,-0.000363814781041194,112127.23291462968,0.0034254926423500365,1.127878029669235
2009-10-14,0.00785266671781315,113007.73070469887,0.0034254926423500365,1.1367348799345713
2009-10-15,0.0009981825538145639,113120.53304993447,0.0034254926423500365,1.1378695488600343
2009-10-16,-0.0028611501318016597,112796.87822188917,0.0034254926423500365,1.1346139332503404
2009-10-19,0.005670084794095143,113436.44608591651,0.0034254926423500365,1.1410472904604316
2009-10-20,-0.0023808970303293986,113166.36558829944,0.0034254926423500365,1.138330574355109
2009-10-21,-0.006394682838577359,112442.70257236777,0.0034254926423500365,1.1310513113666525
2009-10-22,0.005096065160748342,113015.7179115272,0.0034254926423500365,1.136815222549527
2009-10-23,-0.008930204034836131,112006.46449143378,0.0034254926423500365,1.126663230662252
2009-10-26,-0.00885072391968722,111015.12619699986,0.0034254926423500365,1.1166914454571977
2009-10-27,0.00051281468729103,111072.05638422514,0.0034254926423500365,1.1172641012316002
2009-10-28,-0.010335056329184078,109924.12042489587,0.0034254926423500365,1.1057171138107964
2009-10-29,0.011086726704150784,111142.81910624086,0.0034254926423500365,1.1179758972637193
2009-10-30,-0.01481564682536396,109496.16635118748,0.0034254926423500365,1.1014123612105906
2009-11-02,0.003335365410606528,109861.37607702924,0.031918788351561034,1.1050859739029868
2009-11-03,0.0009817169892436528,109969.22885638574,0.031918788351561034,1.1061708555781422
2009-11-04,0.0004594293759945245,110019.75195057783,0.031918788351561034,1.1066790629640637
2009-11-05,0.011195103262173323,111251.43443454325,0.031918788351561034,1.1190684493520318
2009-11-06,0.0027622487561960174,111558.7385709351,0.031918788351561034,1.1221595947843526
2009-11-09,0.014021521095332501,113122.96177717616,0.031918788351561034,1.1378939792149514
2009-11-10,0.0004101177826205671,113169.35551542368,0.031918788351561034,1.1383606497705643
2009-11-11,0.004239193699302257,113649.10233427875,0.031918788351561034,1.143186381064605
2009-11-12,-0.006112889218316209,112954.37796194822,0.031918788351561034,1.1361982093612693
2009-11-13,0.0036055347006407334,113361.6388912793,0.031918788351561034,1.1402948114319271
2009-11-16,0.01096235309417204,114604.34920413952,0.031918788351561034,1.152795125786296
2009-11-17,0.0015588184776014202,114782.99658129242,0.031918788351561034,1.1545921241292607
2009-11-18,-0.001351137718831552,114627.90894513093,0.031918788351561034,1.1530321111604838
2009-11-19,-0.007547580737684911,113762.74554757556,0.031918788351561034,1.1443295082083569
2009-11-20,-0.0022128599306984187,113511.00452634708,0.031918788351561034,1.1417972672921266
2009-11-23,0.007202240719344388,114328.53810524043,0.031918788351561034,1.1500207660638542
2009-11-24,0.002920970999733985,114662.4884494878,0.031918788351561034,1.1533799433706184
2009-11-25,0.0034552945046706363,115058.68111571917,0.031918788351561034,1.1573652107507442
2009-11-27,-0.008202785886882946,114114.87939009978,0.031918788351561034,1.1478715917340288
2009-11-30,0.002685799834244662,114421.36911425056,0.031918788351561034,1.150954545064842
2009-12-01,0.0052671573428182406,115024.04446875601,0.1004204054083857,1.1570168037481303
2009-12-02,-0.0010903668529957944,114898.62606336977,0.1004204054083857,1.1557552309769643
2009-12-03,-0.006564422547054916,114144.38293181376,0.1004204054083857,1.1481683652798627
2009-12-04,0.0004744552773590094,114198.53933667665,0.1004204054083857,1.1487131198200664
2009-12-07,0.00016127320878633888,114216.95650155419,0.1004204054083857,1.1488983764708747
2009-12-08,-0.005304180168348216,113611.12918598956,0.1004204054083857,1.1428044124869505
2009-12-09,0.0014567534513476588,113776.63259054275,0.1004204054083857,1.1444691967590561
2009-12-10,0.0020354801172821624,114008.22266399213,0.1004204054083857,1.1467987410539011
2009-12-11,0.0006037061087724727,114077.05012446467,0.1004204054083857,1.147491070459408
2009-12-14,0.004141709108036684,114549.52408198312,0.1004204054083857,1.1522436446773205
2009-12-15,-0.004078793120109392,114082.30027124572,0.1004204054083857,1.147543881226721
2009-12-16,0.0009262493307853337,114187.96892552642,0.1004204054083857,1.148606792978754
2009-12-17,-0.0038178780994747585,113752.01317974215,0.1004204054083857,1.1442215522589323
2009-12-18,0.0014429757869685034,113916.15458047943,0.1004204054083857,1.1458726362537694
2009-12-21,0.002092941928438563,114154.5744767274,0.1004204054083857,1.1482708811388354
2009-12-22,0.000451235014554241,114206.08501780283,0.1004204054083857,1.148789021166598
2009-12-23,0.0010297123242002382,114323.68443104433,0.1004204054083857,1.1499719433795994
2009-12-24,0.0015081752200887255,114496.10457897247,0.1004204054083857,1.1517063025684018
2009-12-28,0.0002698453015341773,114527.00081483708,0.1004204054083857,1.1520170851028972
2009-12-29,0.00014268010015094923,114543.34153878334,0.1004204054083857,1.1521814550159755
2009-12-30,0.0004766357839294244,114597.93699417157,0.1004204054083857,1.1527306259270158
2009-12-31,-0.007755797637677642,113709.13858514944,0.1004204054083857,1.1437902804615725
